"conceptid";"preflabel";"modified";"altlabel";"definition"
"S041";"elemental analysis";"10/2/2006 19:26:59";"";"The quantification of carbon, nitrogen and sometimes other elements using an instrument that combusts the sample at very high temperature and then assays the resulting gaseous oxides. Usually used for samples including organic material."
"S04100";"Sound Ocean Systems Incorporated DGPS";"10/2/2006 19:26:59";"";"A particular type of differential Global Positioning System satellite navigation receiver."
"S041000";"radioimmunoassay";"12/5/2007 15:18:08";"";"Method for determination of hormone levels in a sample by quantifying reaction with radiotracer-labelled ecdysone and 'Black' antiserum."
"S041002";"electromagnetic log";"2/8/2008 00:30:55";"EM log";"Sensor that measures the flow velocity of a conducting fluid, usually water, by measuring the disturbance it causes to an electromagnetic field"
"S041003";"second sensor";"5/1/2016 17:49:31";"";"Measurement made by a duplicate instrument of exactly the same type as the accompanying primary instrument.  Data quiality may be equal to or even better than the primary instrument."
"S041004";"in-situ acoustic backscatter measurement";"2/18/2008 11:18:14";"ABS";"A technique to quantify the abundance of suspended particles based on measuring the returned proportion of sound transmitted and received by an instrument located in the water column."
"S041005";"in-situ imaging sonar";"2/20/2008 00:59:46";"";"An instrument for generating acoustic images of seabed features in place in the field"
"S041006";"ion exclusion chromatography";"3/5/2008 00:51:29";"";"A form of chromatography using a gel column designed to separate saccharides and organic acids in aqueous solution, usually associated with UV detection."
"S041007";"spectrophotometry on residue before and after NaOCl bleaching";"4/9/2008 10:57:55";"";"Multiple determination of the visible light absorption spectrum of the material trapped on the filter paper after a sample has been filtered before and after bleaching to determine the pigment absorption spectrum by difference."
"S041008";"spectrophotometry on residue after NaOCl bleaching";"4/9/2008 11:00:14";"";"Determination of the visible light absorption spectrum of the material trapped on the filter paper after a sample has been filtered and bleached to remove pigments."
"S041009";"accelerometer";"4/25/2008 14:31:41";"";"A sensor that measures the amount and direction of its velocity change and by derivation distance travelled"
"S04101";"Trimble DGPS";"10/2/2006 19:26:59";"";"A particular type of differential Global Positioning System satellite navigation receiver."
"S041010";"protocol of Charman and Warner (1992)";"8/6/2008 16:52:01";"";"Protocol described in Charman,D.J. and Warner,B.G., 1992. Relationship Between Testate Amoebas (Protozoa, Rhizopoda) and Microenvironmental Parameters on A Forested Peatland in Northeastern Ontario. Canadian Journal of Zoology-Revue Canadienne de Zoologie, 70(12): 2474-2482."
"S041011";"Dupont Hydroclimatic Index Methodology";"8/6/2008 16:49:35";"";"Protocol of L.M. Dupont, Temperature and rainfall variations in the Holocene based on comparative palaeoecology and isotope geology of a hummock and a hollow (Bourtangerveen, The Netherlands), Review of Palaeobota"
"S041012";"in-situ UV absorption spectrometer";"10/28/2008 00:32:10";"";"A UV light source, collector and spectrometer used to collect UV absorption spectra in place in the field. Solute, usually nitrate, concentration is determined by spectral analysis."
"S041013";"water level gauge";"11/3/2008 16:39:25";"";"A generic term for any instrument designed to measure the level of the surface of a water body with respect to a fixed datum level"
"S041014";"model prediction";"11/3/2008 16:42:43";"";"A generic term for a value obtained using a computer simulation"
"S041015";"75kHz broadband acoustic doppler current profiler (ADCP)";"12/8/2008 10:47:23";"75kHz ADCP";"A type of current meter capable of simultaneous measurement of current velocity at a number of different depths based on determining Doppler shift of sound transmitted at a range of frequencies around 75 kHz."
"S041016";"sieving";"12/9/2008 14:41:38";"";"Particle size fraction determination by passing the sample/water suspension through progressively finer sieves and weighing the fraction retained on each."
"S041017";"pyrgeometer";"2/19/2009 16:20:11";"pyrgeometer";"A device that measures the atmospheric infra-red radiation spectrum that extends approximately from 4.5um to 100um."
"S041018";"low temperature UV persulphate oxidation";"5/15/2009 12:33:03";"UV-persulphate";"A technique to assay organic carbon through conversion to inorganic carbon"
"S041019";"carbon dioxide probe";"5/15/2009 01:51:57";"CO2 probe";"A silicon-based sensor providing stable spot measurements of carbon dioxide in the atmosphere."
"S04102";"Trimble DGPS clock";"10/2/2006 19:26:59";"";"The chronometer fitted to a particular type of differential Global Positioning System satellite navigation receiver."
"S041020";"neutron activation analysis";"7/7/2009 17:33:19";"NAA";"Analysis by spectroscopy of radiation generated by radionuclides generated by neutron bombardment of samples and standards"
"S041021";"25cm path length blue light transmissometer";"10/1/2009 12:38:20";"";"An instrument that emits blue light and measures how much of it reaches a receptor accurately located 25 cm away from the transmitter."
"S041022";"bench fast repetition rate fluorometer (FRRF)";"12/8/2009 10:21:32";"bench FRRF";"A fluorometer designed to measure variable fluorescence of living communities of marine phytoplankton in the laboratory. It outputs high frequency (200 kHz) flashes enabling the measurement of the absorption cross section of Photosystem II, the rate of photosynthetic electron transport and the level of photochemical quenching. Some types have dual sample chambers allowing comparisons to be made of ambiently-irradiated and dark adapted phytoplankton samples."
"S041023";"titration against silver nitrate (AgNO3)";"12/21/2009 11:31:46";"AgNO3 titration";"Quantitative incremental addition of silver nitrate solution to extract all halide anions from the sample as indicated by an indicator colour change (usually potassium chromate from yellow to red)"
"S041024";"Position and Orientation Systems for Marine Vessels";"2/12/2010 11:38:27";"POS MV";"A system for measuring position and orientation of a platform by coupling a differential global positioning system and an inertial measurement unit"
"S041025";"Hygroscopic Tandem Differential Mobility Analyser";"2/12/2010 11:45:12";"HDTMA";"Instrument which measures size-resolved aerosol particle growth with increasing relative humidity"
"S041026";"Kongsberg Seatex DPS 116 DGPS";"2/15/2010 16:04:58";"Seatex DPS 116 DGPS";"A particular type of differential Global Positioning System receiver."
"S041027";"laser-induced fluorescence";"2/22/2010 08:36:48";"LIF";"A spectroscopic technique which measures the amount of light emitted on de-excitation (fluorescence) by molecules that have been excited to higher energy levels by a laser."
"S041028";"broadband cavity-enhanced absorption spectroscopy";"2/22/2010 08:40:00";"BBCEAS";"Analytical method which uses a broadband light source to measure multiple species simultaneously in gas phase by absorption spectrometry. The sample is placed in a cavity to extend the length of the interactions."
"S041029";"chemiluminescence";"2/23/2010 11:48:21";"ChemLum";"Generic term for analytical methods that quantify light produced as the result of a chemical reaction"
"S04103";"Trimble GPS";"10/2/2006 19:26:59";"";"A particular type of Global Positioning System satellite navigation receiver."
"S041030";"aerosol mass spectrometer";"2/23/2010 00:03:11";"aerosol-MS";"Technique to measure the aerosol composition using a mass spectrometer. The sample is vaporized and then ionised before being passed to a mass spectrometer where ions are separated according to m/z.  The particle size is almost always measured simultaneously with the composition."
"S041031";"Multi-angle absorption photometer";"2/23/2010 19:45:25";"MAAP";"A technique which determines the aerosol light absorption by simultaneously measuring the radiation transmitted through and scattered back from a particle-loaded filter at multiple detection angles."
"S041032";"nanomolar ammonium system after Holmes et al (1999)";"3/11/2010 11:22:43";"";"Ammonium analysis protocol described in Holmes et al. (1999) A simple and precise method for measuring ammonium in marine and freshwater ecosystems, Can. J. Fish. Aquat. Sci. 56:1801-1808."
"S041033";"ice profiler";"3/26/2010 14:37:11";"ice profiler";"Sub-surface moored instrument that measures ice draft (distance of the ice keel below water body surface) by differencing acoustic range to keel range measurements and water depth determined from sea pressure"
"S041034";"in-situ impeller plus vane current meter";"4/11/2010 19:15:38";"";"An instrument that determines current velocity in place in a water body, which determines direction through instrument alignment by vane and speed using a propeller."
"S041035";"sediment profile imager";"4/30/2010 17:20:44";"SPI";"Device that provide in-situ still or video images of a section including bottom water, the undisturbed sediment-water interface and the upper sediment layers."
"S041036";"1-(2-pyridylazo)-2-naphthol (PAN)-Mn 560nm colorimetric autoanalysis";"7/2/2010 15:00:38";"PAN 560nm AA";"A method of chemical analysis described in Chin (Marine Chemistry, 1992) where the analyte is quantitatively coloured by reaction with 1-(2-pyridylazo)-2-naphthol. The resulting colour strength is assayed by absorption of light of 560nm wavelength."
