"conceptid";"preflabel";"modified";"altlabel";"definition"
"S041037";"linear-response CDOM fluorometer";"7/20/2010 15:32:22";"";"A linear response fluorometer (output voltage proportional to fluorescent substance concentration), with emission and reception frequencies set up to measure CDOM (chromophoric dissolved organic matter: sometimes called Gelbstoff or yellow matter) fluorescence."
"S041038";"linear-response phycocyanin fluorometer";"7/20/2010 15:44:40";"";"A linear response fluorometer (output voltage proportional to fluorescent substance concentration), with emission and reception frequencies set up to measure phycocyanin fluorescence."
"S041039";"fluorescence induction and relaxation (FIRe) fluorometer";"7/26/2010 14:04:57";"";"A development of FRRF based on active stimulation and highly resolved detection of the induction and subsequent relaxation of chlorophyll fluorescence yields on micro- and millisecond time scales."
"S04104";"WET Labs 25cm path length transmissometer";"10/2/2006 19:26:59";"";"A particular make of instrument that emits light of unknown wavelength and measures how much of it reaches a receptor accurately located 25 cm away from the transmitter."
"S041040";"in-situ UV nitrate analyser";"7/27/2010 16:19:35";"";"An absorption analyser measuring absorption at an unspecified wavelength in the ultra-violet waveband designed to measure nutrient concentrations in place in the field."
"S041041";"Ferrozine 560nm colorimetric autoanalysis";"8/13/2010 10:52:50";"";"An analytical method where ferric iron is reduced to ferrous and the total iron then converted to a violet complex by reaction with Ferrozine that is then assayed colorimetrically."
"S041042";"CARD-FISH with DAPI staining and epifluorescence microscopy";"8/24/2010 12:33:33";"";"Catalysed reporter deposition-fluorescence in situ hybridisation (CARD-FISH) is a microbe study technique based on tyramide signal amplification and observation of hybridisation in a live, growing population"
"S041043";"in-situ particle counter";"9/13/2010 15:51:45";"";"An instrument that determines the abundance of particulates of all sizes suspended in the water column or the atmosphere in place in the field."
"S041044";"aethalometer";"9/15/2010 11:12:54";"";"An instrument measures the light absorption of an aerosol sample deposited on a quartz fibre filter as a proxy for black carbon concentration."
"S041045";"optically stimulated luminescence dating";"9/30/2010 11:31:51";"OSL";"A technique that determines the period of time since minerals were exposed to daylight by measuring the degree of luminance caused by radiation damage during burial."
"S041046";"uranium-thorium isotope dating";"9/30/2010 11:35:33";"U-Th dating";"A relatively short-range dating technique based on the decay of uranium-234 into thorium-230."
"S041047";"high performance liquid chromatography - electrospray ionisation quadrupole mass spectrometry";"12/4/2010 14:54:28";"";"A chromatographic technique for separating and analysing mixtures of substances, using a packed column containing microspheres coated with the stationary phase and where the mobile phase is pumped through the column with a high pressure pump. The emergence of each component of the sample under analysis from the column is monitored using a mass spectrometer with an ionisation technique suited to biological samples.."
"S041048";"piezoelectric P-wave transducer";"12/15/2010 14:11:11";"";"An acoustic transmitter made of PZT material comprising a forest of narrow longitudinal rods embedded in a polymer, which combines high coupling with relatively low acoustic impedance.  Desgned to to incorporated into acoustic rolling contact core profilers."
"S041049";"gamma-ray attenuation measurements";"12/15/2010 14:15:18";"";"A technique where a gamma-ray source (137Cs) of known intensity is placed on one side of a core with a detector on the other. The gamma-ray attenuance is measured from which density may be determined."
"S04105";"WET Labs transmissometer";"10/2/2006 19:26:59";"";"A particular make of instrument that emits light of unknown wavelength and measures how much of it reaches a receptor accurately located at fixed but unknown distance away from the transmitter."
"S041050";"non-contact resistivity";"12/15/2010 14:21:41";"";"A technique where the electrical resistivity of a core at a particular point is measured by quantifying the magnetic field produced by electric currents induced by a high-frequency magnetic field."
"S041051";"Moderate Resolution Imaging Spectroradiometer (MODIS)";"1/10/2011 15:57:08";"";"A 36-band satellite-mounted radiometer measuring from 0.4um to 14.4um and at varying spatial resolutions (2 bands at 250 m, 5 bands at 500 m and 29 bands at 1 km)."
"S041052";"programmable medium-spectral resolution imaging spectrometer (MERIS)";"1/10/2011 16:01:26";"";"Satellite-mounted radiometer on the ESA Envisat platform."
"S041053";"WET Labs optical backscatter meter (red LED)";"1/13/2011 15:27:44";"WET Labs OBS (red)";"A specific type of instrument to quantify the abundance of suspended particles based on measuring the returned proportion of red light transmitted into a fixed volume of water."
"S041054";"WET Labs optical backscatter meter (green LED)";"1/13/2011 15:29:01";"WET Labs OBS (green)";"A specific type of instrument to quantify the abundance of suspended particles based on measuring the returned proportion of green light transmitted into a fixed volume of water."
"S041055";"most probable number method";"1/15/2011 16:18:07";"MPN method";"Cell counting technique where sample is serially diluted and numbers estimated from proportion of aliquots in which there is a presence of the organism"
"S041056";"synthetic aperture radar";"1/31/2011 14:21:22";"SAR";"A form of radar in which multiple radar images are processed to yield higher-resolution images than would be possible by conventional means. Remote sensing instruments usually mounted on satellites."
"S041057";"hand penetrometer";"2/4/2011 15:55:09";"";"A portable hand-held instrument that determines the strength of a material by measuring the pressure required to acheive a known degree of penetration by a conical probe"
"S041058";"hand shear vane";"2/4/2011 15:59:07";"";"A portable hand-held instrument that determines the shear strength of a material by measuring the pressure required to rotate a rectangular panel of known area."
"S041059";"Advanced Microwave Scanning Radiometer for EOS (AMSRE-E)";"2/18/2011 17:09:05";"AMSRE-E";"ESA satellite sensor"
"S04106";"Western dot blot";"10/2/2006 19:26:59";"";"A technique which transfers proteins electrophoretically separated in a polyacrylamide gel to a nitrocellulose membrane and uses specific antibodies to bind, locate, and visualise the protein of interest."
"S041060";"proton transfer reaction mass spectrometry";"3/8/2011 15:38:23";"";"A very sensitive technique for measurement of volatile organic compounds comprising an ion source that is directly connected to a drift tube (in contrast to SIFT-MS no mass filter is interconnected) and an analysing system (quadrupole mass analyser or time-of-flight mass spectrometer)."
"S041061";"minimum thermometer";"5/13/2011 16:22:04";"";"A liquid-in-glass thermometer that contains a barbell-shaped marker within the liquid. As the air temperature drops, the liquid and marker move down the thermometer tube. At minimum temperature, the liquid and the marker stop moving; as the temperature starts to rise, the liquid moves back up the tube, but the marker remains stationary marking the minimum temperature. Reset by tipping upside-down"
"S041062";"maximum thermometer";"5/13/2011 16:27:05";"";"A liquid-in-glass thermometer with a constriction in the tube. As the air temperature rises, the liquid moves freely past the constriction but sticks when the air temperature begins to drop. Reset by shaking."
"S041063";"maximum minimum thermometer";"5/13/2011 16:32:05";"Six's thermometer";"A U-shaped liquid-in-glass thermometer that marks air temperature extremes with sprung markers. Reset by using a magnet to move the markers to the liquid menisci in each arm."
"S041064";"gas chromatography-reduction gas detection";"6/12/2011 16:26:04";"";"A technique to separate gases, volatile substances or substances dissolved in a volatile solvent by transport by an inert gas through a column packed with a sorbent. The separated components are then analysed by a detector that measures the concentration of a target gas by reducing it at an electrode and measuring the resulting current."
"S041065";"cone penetrometer";"10/5/2011 16:45:14";"";"An instrument that measures the cohesive stength of sediments by dropping a standard steel cone from a specified height and measuring how deeply it penetrates into the sediment."
"S041066";"polymerase chain reaction";"10/7/2011 15:28:34";"PCR";"A technique in molecular biology to amplify a single or a few copies of a piece of DNA across several orders of magnitude, generating thousands to millions of copies of a particular DNA sequence."
"S041067";"polarography";"10/19/2011 17:13:16";"";"Polarography is a subclass of voltammetry where the working electrode is a dropping mercury electrode (DME) or a static mercury drop electrode (SMDE)."
"S041068";"4-pi scalar radiometer";"11/28/2011 10:57:07";"";"An instrument with a spherical collector that measures electromagnetic radiation of unspecified wavelength travelling in all directions."
"S041069";"high performance liquid chromatography - inductively coupled plasma mass spectrometry";"2/7/2012 14:12:25";"HPLC-ICP-MS";"A technique in which an HPLC is directly coupled to an ICP-MS to enable the determination of organometallic species"
"S04107";"WET Labs optical backscatter meter";"10/2/2006 19:26:59";"";"A specific type of instrument to quantify the abundance of suspended particles based on measuring the returned proportion of light transmitted into a fixed volume of water. Often included on CTD packages."
"S041070";"combined Global Navigation Satellite System receiver";"4/20/2012 16:21:08";"";"A type of satellite navigation receiver capable of combining  information from multiple systems, for example from the American GPS, Russian GLONASS and European Galileo satellites."
"S041071";"cavity ring-down spectrometry";"6/5/2018 15:36:24";"CDRS";"A highly sensitive optical spectroscopic technique that enables measurement of absolute optical extinction by samples that scatter and absorb light."
"S041072";"identification and counting by scanning electron microscopy (SEM)";"7/4/2012 11:32:34";"";"Identification and quantification of biological entities or other small objects using a scanning electron microscope."
"S041073";"thermal ionization mass spectrometry";"8/17/2012 16:54:24";"TIMS";"A highly sensitive isotope mass spectrometry characterization technique in which a chemically purified sample is heated to cause ionization of the atoms of the sample. The resulting ions are focused into a beam by an electromagnet, then separated into individual beams based on the mass/charge ratio of the ions."
"S041074";"identification and counting by polarized light microscopy and automated image analysis";"11/23/2012 16:45:03";"";"Identification and automated quantification of coccoliths and or coccospheres using cross-polarized light to identify birefringent areas"
"S041075";"infra-red kinetic fluorometry";"11/28/2012 16:09:40";"";"not specified"
"S041076";"high frequency radar";"6/19/2013 09:58:41";"HF radar";"High (5-50 MHz) frequency radar transmits electromagnetic waves and records the backscattered signal. Oceanographic usage includes sea surface radar in which the backscattered signals are analysed to obtain surface current and wave parameters."
"S041077";"two-dimensional seismic survey array";"6/19/2013 10:07:25";"2D seismics";"A method where energy waves are transmitted into the seafloor or land surface and the returns are collected by a single string of hydrophones to produce an image of the sub-surface rock and sediment structure along a single line."
"S041078";"three-dimensional seismic survey array";"6/19/2013 10:09:14";"3D seismics";"A method where energy waves are transmitted into the seafloor or land surface and the returns are collected by an array of sensors distributed over an area to produce an image of the sub-surface rock and sediment structure beneath the instrumented area."
"S041079";"in-situ current meter beam 2";"10/10/2013 17:10:57";"";"Current measurement from one transmitter on a type of current meter capable of simultaneous measurement of current velocity at a number of different depths."
"S04108";"Winkler titration";"10/2/2006 19:26:59";"";"The 'gold standard' wet chemical technique for determining dissolved oxygen by conversion of oxygen to iodine that is assayed by titration against thiosulphate."
"S041080";"in-situ current meter beam 3";"10/10/2013 17:11:18";"";"Current measurement from one transmitter on a type of current meter capable of simultaneous measurement of current velocity at a number of different depths."
"S041081";"Continuous-Flow Isotope Ratio Mass-Spectrometry";"10/17/2013 15:40:07";"";"Mass spectrometry technique."
"S041082";"Biospherical Instruments 2-pi PAR upwelling light meter";"11/27/2013 11:49:46";"";"A specific type of instrument with a hemispherical collector that measures electromagnetic visible radiation (400-700 nm) travelling in all directions over 180 degrees mounted pointing downwards."
"S041083";"cosine-collector downwelling spectral radiometer";"6/10/2014 14:13:40";"";"An instrument to measure the intensity of the component of electromagnetic radiation travelling vertically downwards to give a spectrum of intensity versus wavelength."
"S041084";"upwelling radiance spectral radiometer";"6/10/2014 14:14:59";"";"An instrument to measure the intensity of the electromagnetic radiation travelling vertically upwards to give a spectrum of intensity versus wavelength."
"S041085";"strain gauge";"6/17/2014 10:36:47";"";"A sensor used to measure the strain in an object"
"S041086";"chitobiase assay";"7/30/2014 09:43:04";"";"Method for determining the activity and kinetic properties of the chitin-degrading enzyme chitobiase."
"S041087";"210Pb dating";"3/24/2015 09:14:09";"";"A technique in which the measured activity of 210Pb is corrected for the activity expected from the decay 226Ra (supported 210Pb) to give the activity resulting from atmospheric 222Rn decay (unsupported or excess 210Pb) which predictably decreases as a function of time."
"S041088";"pH sensor";"10/2/2015 17:56:19";"";"Any type of pH measuring sensor (e.g. resistance, thermistor, electrode)"
"S041089";"resistance thermometer";"10/2/2015 17:58:40";"";"Any type of resistance thermometer"
"S041090";"single turnover fast repetition rate (FRR) fluorometry";"4/27/2022 17:57:41";"";"An active fluorescence technique using the fast repetition rate method with a single turnover flash protocol that uses a sequence of short flashes (e.g. <200 microseconds flashlets) to reach maximum fluorescence; each flashlet only allows one single reduction of the primary electron acceptors of PSII, Qa."
"S041091";"multiple turnover pulse-amplitude modulation (PAM) fluorometry";"4/27/2022 17:57:41";"";"An active fluorescence technique using the pulse-amplitude modulated method with a multiple turnover flash protocol that uses a long single saturating flash (e.g. 200-10,000 milliseconds) to achieve maximum fluorescence and allow repeated charge separation processes (multiple turnover) until all the electron acceptors of PSII are reduced."
"S041092";"nitrate analysis system";"2/24/2016 11:28:45";"";"An automated analytical system to measure nitrate concentrations."
"S041093";"silicate analysis system";"2/24/2016 11:29:02";"";"An automated analytical system to measure silicate concentrations."
"S041094";"phosphate analysis system";"2/24/2016 11:29:20";"";"An automated analytical system to measure phosphate concentrations."
"S041095";"ammonia analysis system";"2/24/2016 11:29:40";"";"An automated analytical system to measure ammonia concentrations."
"S041096";"sieving and dry laser diffraction";"3/11/2016 09:20:14";"";"Particle size fraction determination by a combination of sieving for the coarse fraction and laser diffraction analysis on the dry sample for the fine fraction."
"S041097";"sieving and wet laser diffraction";"3/11/2016 09:20:14";"";"Particle size fraction determination by a combination of sieving for the coarse fraction and laser diffraction analysis of the particulate material suspended in a fluid for the fine fraction."
"S041098";"sieving, settling tube method and laser diffraction";"3/11/2016 09:20:14";"sieve, pipette method and laser diffraction";"Particle size fraction determination by a combination of sieving, settling tube/pipette method and laser diffraction analysis."
"S041099";"settling tube method";"3/11/2016 09:20:14";"pipette method";"Particle size fraction determination by the settling tube/pipette method."
"S04110";"X-ray diffraction";"10/2/2006 19:26:59";"";"An analytical technique used to identify crystalline solids by measuring the characteristic spaces between layers of atoms or molecules in a crystal."
"S041100";"settling tube method and laser diffraction";"3/11/2016 09:20:14";"pipette method and laser diffraction";"Particle size fraction determination by the settling tube/pipette method and laser diffraction analysis."
"S041101";"laser diffraction";"3/11/2016 09:20:14";"";"Particle size fraction determination by laser diffraction analysis."
"S041102";"dry laser diffraction";"3/11/2016 09:20:14";"";"Particle size fraction determination by laser diffraction analysis on the dry sample."
"S041103";"wet laser diffraction";"3/11/2016 09:20:14";"";"Particle size fraction determination using laser diffraction analysis of particulate material suspended in a fluid."
"S041104";"nitrite analysis system";"9/9/2016 11:42:15";"";"An automated analytical system to measure nitrite concentrations."
"S041105";"temperature measurement";"11/10/2016 16:15:33";"";"Determination of temperature by any method."
"S041106";"conductivity measurement";"11/10/2016 16:16:23";"";"Determination of conductivity by any method."
"S041107";"optical backscatter sensor";"11/10/2016 16:19:17";"";"An instrument that measures the returned proportion of light transmitted into a fixed volume of water."
"S041108";"ZooSCAN technology";"6/5/2017 01:32:13";"ZooSCAN";"A scanning imaging and computer supported identification system for the non-destructive analysis of zooplankton samples."
"S041109";"synchrotron x-ray fluorescence";"7/31/2017 17:38:33";"SXRF";"An X-ray fluorescence (XRF) spectrometry that uses synchrotron radiation (SR) for excitation source."
"S04111";"X-ray fluorescence";"10/2/2006 19:26:59";"";"A method for identifying the elemental constituents of a sample from the spectrum of electromagnetic radiation emitted by the atoms in the sample when excited by X-ray radiation."
"S041110";"third sensor";"9/19/2017 11:50:50";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041111";"dry bulb thermometer (third sensor)";"9/19/2017 11:51:31";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041112";"in-situ thermistor (third sensor)";"9/19/2017 11:52:15";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041113";"in-situ thermistor (fourth sensor)";"9/19/2017 11:52:38";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041114";"in-situ thermistor (fifth sensor)";"9/19/2017 11:52:48";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041115";"in-situ thermistor (sixth sensor)";"9/19/2017 11:53:02";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041116";"in-situ thermistor (seventh sensor)";"9/19/2017 11:53:38";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041117";"in-situ thermistor (eighth sensor)";"9/19/2017 11:54:01";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041118";"in-situ thermistor (ninth sensor)";"9/19/2017 11:54:49";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041119";"in-situ thermistor (tenth sensor)";"9/19/2017 11:55:08";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S04112";"YSI profiling oxygen and temperature probe";"10/2/2006 19:26:59";"";"A specific measurement system comprising a pontoon or surface buoy-mounted winch that periodically lowers a package with dissolved oxygen and water temperature sensors down through the water column to a predetermined depth and back again."
"S041120";"in-situ thermistor (eleventh sensor)";"9/19/2017 11:55:21";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041121";"in-situ thermistor (twelfth sensor)";"9/19/2017 11:56:10";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041122";"in-situ thermistor (thirteenth sensor)";"9/19/2017 11:56:39";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041123";"in-situ thermistor (fourteenth sensor)";"9/19/2017 11:56:53";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041124";"in-situ thermistor (fifteenth sensor)";"9/19/2017 12:54:18";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041125";"in-situ conductivity cell (third sensor)";"9/19/2017 01:28:24";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041126";"in-situ conductivity cell (fourth sensor)";"9/19/2017 01:31:16";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041127";"in-situ conductivity cell (fifth sensor)";"9/19/2017 01:31:29";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041128";"in-situ conductivity cell (sixth sensor)";"9/19/2017 01:33:09";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041129";"temperature sensor";"10/25/2017 11:49:33";"";"A type of temperature sensing device such as a resistance temperature detector, thermistor or thermocouple."
"S04113";"acidification weight loss";"10/2/2006 19:26:59";"";"Determination of the mass of a sample on an analytical balance before and after treatment with a strong acid. Generally used to determine inorganic carbon (carbonate and/or bicarbonate)."
"S041130";"temperature sensor (second sensor)";"10/25/2017 11:50:13";"";"A code defining a second instance of temperature sensing device such as a resistance temperature detector, thermistor or thermocouple."
"S041131";"acoustic doppler wave array beam 1";"11/22/2017 11:14:53";"";"One of the acoustic transducers of an uprated ADCP that measures the current profile, mean water depth from pressure, wave statistics from pressure and directional wave spectra from orbital velocity measurements of near-surface particles determined using four acoustic beams."
"S041132";"cosine-collector radiometer (second sensor)";"12/18/2017 20:38:57";"";"An instrument to measure the intensity of the component of electromagnetic radiation travelling along the sensor axis at either a single wavelength, multiple discrete wavelengths or integrated over a range of wavelengths. Deployed on a package of instruments or sensors as the second sensor of this type."
"S041133";"pyranometer (second sensor)";"12/18/2017 20:40:05";"";"The standard instrument for measuring solar radiation incident on a horizontal surface by measuring the temperature of a black body target that has been calibrated in terms of radiative flux. Sensitive to wavelengths between 300 and 3000 nm. Deployed on a package of instruments or sensors as the second sensor of this type."
"S041134";"oxygen sensor (second sensor)";"2/1/2018 18:01:14";"";"Code designed to allow differentiation between multiple equivalent sensors."
"S041135";"nephelometry using an infrared light source";"4/16/2018 18:29:30";"";"Method for measuring turbidity using a nephelometer (instrument that measures scattered light at an angle of 90°) equipped with an infrared light source. Nephelometers are calibrated using formazine solutions (reference standard). This method is used as part of the ISO 7027 standard for turbidity measurements."
"S041136";"in-situ UV Aquatracka fluorometer";"4/27/2022 17:57:41";"";"A linear response fluorometer (output voltage proportional to fluorescent substance concentration) that detects UV fluorescence emitted whendissolved compounds that are of a fluorescent nature absorb UV light and re-emit a fraction as fluorescence; used for the monitoring of CDOM, and refined and crude hydrocarbons."
"S041137";"in-situ WET Labs FDOM ECO fluorometer";"6/15/2018 09:59:34";"";"A linear response single channel fluorometer that measures CDOM (coloured dissolved organic matter) fluorescence (excitation wavelength 370 nm)."
"S041138";"in-situ optical turbidity measurement";"6/26/2018 15:20:20";"";"A technique that determines turbidity by either the absorbance (or attenuation) of passing light or the portion of light scattered at an angle from the the incident beam of light passing through water. The instrument is located in the water column."
"S041139";"in-situ flume experiment";"9/4/2018 12:57:25";"";"A benthic annular flume is used to induce and detect fluid flow in intertidal and subtidal settings. The flume is equipped with optical backscatter sensors, a rotation lid with paddles and an electromagnetic flow meter. Erodibility is inferred from the rate of change in suspended sediment concentration detected in the annulus."
"S04114";"acoustic doppler current profiler (ADCP)";"10/2/2006 19:26:59";"ADCP";"A type of current meter capable of simultaneous measurement of current velocity at a number of different depths based on determining Doppler shift of transmitted sound."
"S041140";"acoustic doppler current profiler (ADCP) beam 1";"9/4/2018 17:02:28";"";"Current measurement from one transmitter on a type of current meter capable of simultaneous measurement of current velocity at a number of different depths based on determining Doppler shift of transmitted sound."
"S041141";"acoustic doppler current profiler (ADCP) beam 2";"9/4/2018 17:02:28";"";"Current measurement from one transmitter on a type of current meter capable of simultaneous measurement of current velocity at a number of different depths based on determining Doppler shift of transmitted sound."
