"conceptid";"preflabel";"modified";"altlabel";"definition"
"BE000001";"Ablabesmyia (ITIS: 128079)";"8/31/2012 15:39:47";"";""
"BE000002";"Ablabesmyia longistyla";"9/16/2010 01:58:56";"";""
"BE000003";"Ablabesmyia monilis (ITIS: 128107)";"9/16/2010 01:58:57";"";""
"BE000004";"Ablabesmyia phatta";"9/16/2010 01:58:56";"";""
"BE000005";"Abra (ITIS: 81301: WoRMS 138474)";"8/31/2012 15:39:47";"";""
"BE000006";"Abra alba (ITIS: 81306: WoRMS 141433)";"9/16/2010 01:58:56";"";""
"BE000007";"Abra nitida (ITIS: 81314: WoRMS 141435)";"9/16/2010 01:58:56";"";""
"BE000008";"Abra prismatica (ITIS: 81305: WoRMS 141436)";"9/16/2010 01:58:56";"";""
"BE000009";"Abra tenuis (ITIS: 81307: WoRMS 141439)";"9/16/2010 01:58:56";"";""
"BE000010";"Acantharia (ITIS: 46107: WoRMS 235747)";"9/16/2010 01:58:56";"";""
"BE000011";"Acanthocardia echinata (ITIS: 80927: WoRMS 138992)";"9/16/2010 01:58:56";"";""
"BE000012";"Acanthocephala (ITIS: 64238: WoRMS 18814)";"9/16/2010 01:58:56";"";""
"BE000013";"Acanthocephalus (ITIS: 64269: WoRMS 20296)";"8/31/2012 15:39:47";"";""
"BE000014";"Acanthoceras zachariasii (ITIS: 591173: WoRMS 178990)";"9/16/2010 01:58:56";"";""
"BE000015";"Acanthocyclops (ITIS: 88762: WoRMS 149771)";"8/31/2012 15:39:47";"";""
"BE000016";"Acanthocyclops robustus (ITIS: 88772: WoRMS 149775)";"9/16/2010 01:58:57";"";""
"BE000017";"Acanthocyclops vernalis (ITIS: 88770: WoRMS 157729)";"9/16/2010 01:58:56";"";""
"BE000018";"Acanthoica (ITIS: 2187: WoRMS 115083)";"8/31/2012 15:39:47";"";""
"BE000019";"Acanthoica aculeata (ITIS: 2189: WoRMS 163449)";"9/16/2010 01:58:57";"";""
"BE000020";"Acanthoica quattrospina (ITIS: 2190: WoRMS 235802)";"9/16/2010 01:58:56";"";""
"BE000021";"Acanthostomella (ITIS: 46771: WoRMS 183555)";"8/31/2012 15:39:47";"";""
"BE000022";"Acanthostomella gracilis (ITIS: 46772: WoRMS 183575) [Size: 20-39um]";"9/16/2010 01:58:57";"";""
"BE000023";"Acanthostomella norvegica (ITIS: 46773: WoRMS 183556)";"9/16/2010 01:58:57";"";""
"BE000024";"Acartia (ITIS: 86084: WoRMS 104108) [Size: 1000-2000um]";"8/31/2012 15:39:47";"";""
"BE000025";"Acartia (ITIS: 86084: WoRMS 104108) [Size: 200-500um]";"8/31/2012 15:39:47";"";""
"BE000026";"Acartia (ITIS: 86084: WoRMS 104108) [Size: 500-1000um]";"8/31/2012 15:39:47";"";""
"BE000027";"Acartia (ITIS: 86084: WoRMS 104108) [Size: >2000um]";"8/31/2012 15:39:47";"";""
"BE000028";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: copepodites C1]";"8/31/2012 15:39:47";"";""
"BE000029";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: copepodites C1-C4]";"8/31/2012 15:39:47";"";""
"BE000030";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: copepodites]";"8/31/2012 15:39:47";"";""
"BE000031";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: copepodites C2]";"8/31/2012 15:39:47";"";""
"BE000032";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: copepodites C3]";"8/31/2012 15:39:47";"";""
"BE000033";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: copepodites C4]";"8/31/2012 15:39:47";"";""
"BE000034";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: copepodites C5]";"8/31/2012 15:39:47";"";""
"BE000035";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: adult Sex: female]";"8/31/2012 15:39:47";"";""
"BE000036";"Acartia (ITIS: 86084: WoRMS 104108) [Stage: adult Sex: male]";"8/31/2012 15:39:47";"";""
"BE000037";"Acartia (ITIS: 86084: WoRMS 104108)";"8/31/2012 15:39:47";"";""
"BE000038";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: copepodites C1-C3]";"9/16/2010 01:58:56";"";""
"BE000039";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: copepodites C2]";"9/16/2010 01:58:56";"";""
"BE000040";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: copepodites C3]";"9/16/2010 01:58:56";"";""
"BE000041";"Acartia bifilosa (ITIS: 86095: WoRMS 104249) [Stage: copepodites C4]";"9/16/2010 01:58:57";"";""
