"conceptid";"preflabel";"modified";"altlabel";"definition"
"S111";"copepodites C1";"7/30/2017 15:07:43";"C1";"The first sub-stage of the copepodite development stage of the crustacean copepoda sub-class."
"S1110";"copepodites C4";"7/30/2017 15:23:39";"C4";"The fourth sub-stage of the copepodite development stage of the crustacean copepoda sub-class."
"S1111";"copepodites C4-C5";"7/30/2017 15:25:14";"C4-5";"Grouping of the fourth and fifth sub-stages of the copepodite development stage of the crustacean copepoda sub-class."
"S1112";"copepodites C5";"7/30/2017 15:24:01";"C5";"The fifth and last sub-stage of the copepodite development stage of the crustacean copepoda sub-class."
"S1114";"copepodites C5 plus adults";"7/30/2017 15:29:15";"C5-adult C5-C6 C5-6";"Grouping of the fifth and last sub-stages of the copepodite development stage of the crustacean copepoda sub-class plus the adult form (sometimes also labelled C6 or CVI)."
"S1116";"adult";"2/9/2010 10:44:21";"";"An animal that has reached sexual maturity"
"S1117";"auxospores";"3/29/2006 09:23:50";"";"An enlarged cell in diatoms which restores cell size following a series of divisions."
"S1118";"calyptopis";"2/17/2006 11:19:39";"";""
"S1119";"cyphonautes";"2/17/2006 11:19:39";"";""
"S112";"copepodites C1-C2";"7/30/2017 15:10:59";"C1-2";"Grouping of the first 2 sub-stages of the copepodite development stage of the crustacean copepoda sub-class."
"S1120";"cypris";"1/24/2017 17:04:51";"cyprids";"The final larval stage of crustacean cirripedes or barnacles (infraclass Cirripedia) following the naupliar phase and prior to the sessile adult phase."
"S1121";"cysts";"2/17/2006 11:19:39";"";""
"S1122";"eggs";"6/19/2017 17:48:17";"";"Spherical or ellipsoidal bodies produced by the female of certain animals (e.g. fishes, birds, reptiles)."
"S1123";"furcilia";"6/21/2010 17:54:45";"";"Fourth free-swimming planktonic larval stage of euphausiaceans with stalked eyes and the general body form of the adult."
"S1124";"heterococcolithophorid";"2/17/2006 11:19:39";"";""
"S1125";"holococcolithophorid";"2/17/2006 11:19:39";"";""
"S1126";"hydromedusae";"2/17/2006 11:19:39";"";""
"S1127";"juvenile";"2/9/2010 10:43:26";"";"An animal that has not yet reached sexual maturity"
"S1128";"larvae";"2/17/2006 11:19:39";"";""
"S1129";"medusae";"2/17/2006 11:19:39";"";""
"S113";"copepodites C1-C3";"7/30/2017 15:12:17";"C1-3 C1+C2+C3";"Grouping of the first 3 sub-stages of the copepodite development stage of the crustacean copepoda sub-class."
"S1130";"nauplii";"7/30/2017 15:40:58";"N1-6 N1-N6";"All sub-stages of the first development stage of crustaceans after hatching."
"S1131";"not specified";"3/29/2006 09:30:54";"";"No information on development stage has been provided."
"S1132";"planula";"3/29/2006 10:50:19";"";"The free-swimming, flattened, ciliated, bilaterally symmetrical larva of a hydrozoan cnidarian"
"S1133";"postlarvae";"2/17/2006 11:19:39";"";""
"S1134";"resting spores";"2/17/2006 11:19:39";"";""
"S1135";"spores";"2/17/2006 11:19:39";"";""
"S1136";"vegetative cell";"2/17/2006 11:19:39";"";""
"S1137";"zoeae";"6/21/2010 17:10:22";"";"Free-swimming planktonic larval form of decapod crustaceans (especially crabs) with a relatively large cephalothorax, conspicuous eyes, and fringed antennae and mouthparts."
"S1138";"zooids";"2/17/2006 11:19:39";"";""
"S1139";"zoospores";"2/17/2006 11:19:39";"";""
"S114";"copepodites C1-C4";"7/30/2017 15:13:04";"C1-4 C1+C2+C3+C4";"Grouping of the first, second, third and fourth sub-stages of the copepodite development stage of the crustacean copepoda sub-class."
"S1140";"nauplii N1";"7/30/2017 15:31:47";"N1";"The first sub-stage of the first development stage (nauplius) of crustaceans."
"S1141";"nauplii N2";"7/30/2017 15:32:08";"N2";"The second sub-stage of the nauplius larval development stage of crustaceans."
"S1142";"nauplii N3";"7/30/2017 15:32:16";"N3";"The third sub-stage of the nauplius larval development stage of crustaceans."
"S1143";"nauplii N4";"7/30/2017 15:32:24";"N4";"The fourth sub-stage of the nauplius larval development stage of crustaceans."
"S1144";"nauplii N5";"7/30/2017 15:32:38";"N5";"The fifth sub-stage of the nauplius larval development stage of crustaceans."
"S1145";"juvenile+adult";"2/17/2006 11:19:39";"";"Juveniles and adults have either been grouped together or cannot be reliably distinguished."
"S1146";"nauplii N6";"7/30/2017 15:32:47";"N6";"The sixth and last sub-stage of the nauplius larval development stage of crustaceans."
"S1147";"juvenile+furcilia";"2/17/2006 11:19:39";"";"Juveniles and furcilia have either been grouped together or cannot be reliably distinguished."
"S1148";"sub-adult+adult";"2/17/2006 11:19:39";"";"Sub-adults and adults have either been grouped together or cannot be reliably distinguished."
"S1149";"postlarvae+sub-adult";"2/17/2006 11:19:39";"";"Postlarvae and sub-adults have either been grouped together or cannot be reliably distinguished."
"S115";"copepodites";"7/30/2017 15:14:38";"C1-C5 C1-5 C1+C2+C3+C4+C5";"All sub-stages of the second development stage of copepoda crustaceans following the nauplii stage (N1 to N6) and before reaching the adult stage (sometimes also labelled C6 or CVI)."
"S1150";"juvenile+sub-adult";"2/17/2006 11:19:39";"";"Juveniles and sub-adults have either been grouped together or cannot be reliably distinguished."
"S1151";"postlarvae+juvenile";"2/17/2006 11:19:39";"";"Postlarvae and juveniles have either been grouped together or cannot be reliably distinguished."
"S1152";"indeterminate";"2/17/2006 11:19:39";"";"Development stage could not be reliably determined"
"S1153";"post-auxospore";"3/29/2006 09:28:00";"";"Cell in diatoms which has restored its size by a series of divisions or is in the process of dividing following the enlarged auxospore stage."
"S1154";"nauplii N1-N3";"7/30/2017 15:33:46";"N1-3 N1+N2+N3";"Grouping of the first 3 sub-stages of the nauplius larval development stage of crustaceans."
"S1155";"nauplii N4-N6";"7/30/2017 15:35:51";"N4-6 N4+N5+N6";"Grouping of the last 3 sub-stages of the nauplius larval development stage of crustaceans."
"S1156";"gamete";"10/16/2008 01:54:19";"";"A reproductive cell (male or female) that has only half the usual number of chromosomes"
"S1157";"pup";"2/9/2010 10:50:38";"";"A juvenile pinniped that is less than one year old"
"S1158";"pre-weaned pup";"3/5/2010 09:59:46";"";"A juvenile pinniped that is less than one year old and is ingesting milk produced by an adult female."
"S1159";"post-weaned pup";"3/5/2010 09:59:09";"";"A juvenile pinniped that is less than one year old and is nutritionally independent and no longer ingesting milk produced by an adult female.."
"S116";"copepodites plus adults";"7/30/2017 15:21:51";"C1-adult C1-C6 C1-6";"All sub-stages of the second (copepodite) development stage of copepoda crustaceans combined with the adult stage (sometimes also labelled C6 or CVI)."
"S1160";"protozoeae";"6/21/2010 17:28:21";"";"Free-swimming planktonic larval forms of decapod crustaceans with three recognised development sub-stages (Dall et al., 1990)."
"S1161";"mysis";"6/21/2010 17:34:03";"";"Free-swimming planktonic larval forms of decapod crustaceans (especially shrimps) with three recognised development sub-stages. First sub-stage produced from protozoeae by moulting."
"S1162";"pluteus larvae";"12/4/2010 15:33:51";"";"Free-swimming, bilaterally symmetrical, ciliated developmental stage of some echinoderms, such as sea urchins and brittlestars"
"S1163";"copepodites C4-C5 plus adults";"7/30/2017 15:28:16";"C4-adult C4-C6 C4-6";"Grouping of the last 2 sub-stages of the copepodite development stage of the crustacean copepoda sub-class plus the adult stage."
"S1164";"blastozooids";"8/1/2011 12:38:28";"";"Individual organisms produced as the result of asexual reproduction such as budding"
"S1165";"oozoids";"4/27/2022 18:01:00";"";"Individual organisms representing the asexual life form of Thaliassae (e.g. salps) and some Cnidaria; they are issued from eggs produced by sexual reproduction of blastozooids and bud asexually to produce many new sexually reproducing blastozoids."
"S1166";"auricularia";"1/24/2017 18:44:32";"";"The first stage of larval development of holothurians (sea cucumbers)."
"S1167";"megalopae";"6/17/2017 12:32:14";"megalops";"Organisms at the final larval development stage of decapod crustaceans (e.g. crabs) following the zoea and preceding the adult stage."
"S1168";"aulophora larvae";"6/17/2017 12:52:54";"";"Organisms from the planktonic larval stage of the burrowing polychaete from the genus Lanice."
"S1169";"metanauplii";"6/21/2017 10:03:43";"metanauplius";"Organisms from an early larval stage of some crustaceans such as krill."
"S117";"copepodites C2";"7/30/2017 15:23:16";"C2";"The second sub-stage of the copepodite development stage of the crustacean copepoda sub-class."
"S1170";"spat";"3/26/2018 14:06:59";"";"Shellfish larvae of the Bivalvia class (e.g. oysters, mussels, scallops) that have settled on a substrate following the end of their planktonic life stage (plural form may be spat or spats)."
"S1171";"immature";"4/27/2022 18:01:00";"";"This term may have subtle variations in its definition depending on the type of organism it relates to. In a general sense, it applies to organisms that are at the last stage of their juvenile development prior to a fully mature adult stage, ie when an organism looks like an adult but its reproductive organs have not yet reached maturity."
"S1172";"newborn";"12/11/2018 17:20:01";"neonatus";"A newly born vertebrate (fishes, amphibians, reptiles, birds, mammals). The term 'hatchling' is used for newborn emerged from an egg."
"S1173";"smolt";"7/16/2019 19:46:08";"";"A young salmon or sea-going trout that is at the stage of development when it assumes a silvery color and is physiologically ready to migrate to the sea."
"S1174";"scyphistoma";"8/23/2019 01:59:58";"";"The fixed segmented polyp-like stage in the life cycle of a jellyfish, which reproduces asexually by budding (strobilation)."
"S1175";"cercaria purpurea";"8/23/2019 14:04:46";"";"The larval stage of the trematode Parorchis acanthus (urn:lsid:marinespecies.org:taxname:158687), a parasitic castrator of the common periwinkle Littorina littorea (urn:lsid:marinespecies.org:taxname:140262). Trematoda is a clade within the phylum Platyhelminthes. It includes two groups of parasitic flatworms, known as flukes. They are internal parasites of molluscs and vertebrates."
"S1176";"metacercaria";"8/23/2019 14:10:12";"";"A resting late larval stage of the digenetic trematodes (digeneans) with a three-host life cycle. It is a tailless stage which develops in the intermediate host either encysted in a cyst or encapsulated in a layer of host tissue. This is usually the form which is infective to the definitive host when it ingests the infected intermediate host."
"S1177";"sporocyst";"8/23/2019 14:20:27";"";"A term used for a development stage in the lifecycle of Apicomplexa parasites and trematode flatworm parasites (flukes). In the trematodes lifecycle it is an elongated sac-like structure that is formed in the initial stage of infection of an intermediate host (typically a snail). It develops from a miracidium and evolve into a redia."
"S1178";"cercaria";"8/23/2019 14:28:43";"";"A free-swimming larval stage of trematodes (also known as parasitic flatworms or flukes) during which the parasitic fluke typically passes from an intermediate host (often a snail) to another intermediate host or to the final vertebrate host. Cercaria can develop from the sporocyst stage or from the redial stage of the trematode depending on species."
"S1179";"ephyra";"8/29/2019 19:04:40";"ephyrula";"A free-swimming precursor stage of the adult medusa stage, ephyrae (or ephyrulae) are small medusae ("medusoid heads") that separate from the polyp by budding in a process known as strobilation before metamorphosing into scyphomedusae, the life stage of the adult medusa typically identified as jellyfish. Strobils can sometimes become scyphomedusae without passing through the ephyra stage."
"S118";"copepodites C3";"7/30/2017 15:23:25";"C3";"The third sub-stage of the copepodite development stage of the crustacean copepoda sub-class."
"S1180";"pupa";"11/15/2019 17:58:54";"";"An organism at the pupal stage. A life stage of some insects undergoing a complete metamorphosis between immature (larva) and mature (adult or imago) stages."
"S1181";"epitoke";"11/25/2019 15:28:56";"";"A life stage of aquatic polychaete worms whose life cycle include a process known as "epitoky". Epitoky is the metamorphosis of a sexually immature worm (the atoke) into a sexually mature form (the epitoke) adapted for a brief free-swimming near-surface phase."
"S1182";"chalimus";"3/23/2021 14:41:41";"";"The life stages of parasitic copepod species marked by their secure attachment to a host by a frontal filament. The chalimus stages follow the free-swimming copepodid stage and precede the pre-adult stages (sometimes referred to as 'sub-adult') where the organism is capable of detaching from its filament to move across the surface of its host."
"S1183";"pre-adult and adult motile stages";"3/23/2021 14:39:37";"motile (sea lice)";"The pre-adult and adult life stages of parasitic copepod species, commonly referred to as 'sea lice', that are marked by the ability of parasites to move freely across the surface of their host or swim freely in the water column. Sea lice motile stages are preceded by the chalimus stages in which the organism is attached to its host by a frontal filament and exclude the free-swimming naupliar and copepodid stages."
"S1184";"early stage eggs";"4/28/2021 15:29:58";"";"An embryonic development stage from extrusion of the egg to the formation of an advanced blastodisc (also known as the germinal disc or blastoderm), encompassing the zygote, morula and blastula stages of egg development."
"S1185";"middle stage eggs";"4/28/2021 15:30:00";"";"An embryonic development stage from the beginning to the end of gastrulation."
"S1186";"late stage eggs";"4/28/2021 15:30:02";"";"An embryonic development stage from the end of gastrulation to hatching."
"S1187";"yolk-sac larvae";"4/28/2021 15:30:04";"";"A fish life stage between hatching and until complete absorption of yolk-sac."
"S1188";"preflexion larvae";"4/28/2021 15:30:06";"";"A fish life stage between complete yolk-sac absorption and until the start of notochord flexion."
"S1189";"flexion larvae";"4/28/2021 15:30:08";"";"A fish life stage between the start of notochord flexion and until complete notochord flexion. This is concurrent with development of the caudal-fin rays and supporting skeletal elements."
"S119";"copepodites C3-C4";"7/30/2017 15:24:54";"C3-4";"Grouping of the third and fourth sub-stages of the copepodite development stage of the crustacean copepoda sub-class."
"S1190";"postflexion larvae";"4/28/2021 15:30:10";"";"A fish life stage between the completion of notochord flexion and until the start of metamorphosis. Diagnostic characteristics include formation of the caudal fin and attainment of meristic complements such as fin rays."
"S1191";"praniza";"8/23/2021 22:51:36";"";"The juvenile form of a family of marine isopod crustaceans known as Gnathiidae. The adults are associated with sponges and occur in a wide range of depths. The praniza 'larva' is a temporary parasite of marine fishes."
"S1192";"trochophore";"8/24/2021 12:19:16";"";"Free-swimming planktonic marine larva occurring in the first developmental stage of Molluscs and certain marine annelids. The trochophore is the developmental stage prior to veliger."
"S1193";"veliger";"8/24/2021 12:24:18";"";"Planktonic larva typical of many marine and freshwater snails and bivalves. The veliger develops from the trochophore larva."
"S1194";"paralarva";"8/24/2021 12:28:50";"paralarvae";"Planktonic stage of young cephalopods between hatching and sub-adult."
"S1195";"eudoxid";"8/24/2021 12:47:51";"";"Free-living sexual unit of a majority of calycophoran siphonophores."
"S1196";"nurse";"8/24/2021 01:13:11";"";"A developmental stage in the life cycle of doliolids (Order Doliolida). The nurse stage is the terminal life stage for doliolids, often characterized by a conspicuous tail (cadophore) sprouting small trophozooids (i.e. 'nutrition zooids') also called 'gastrozooids' (i.e., feeding buds) [[Paffenhofer and Koster, 2011](https://doi.org/10.1093/plankt/fbr001); [Greer et al 2020](https://doi.org/10.1002/lno.11450)]."
"S1197";"nectochaeta";"8/24/2021 01:20:09";"nectochaetae";"A developmental stage found in Polychaeta species, it is a planktonic stage bearing functioning parapodia serving locomotion [Plate and Huseman 1994](https://hmr.biomedcentral.com/track/pdf/10.1007/BF02366201.pdf)."
"S120";"sub-adult";"2/17/2006 11:19:39";"";""
