"conceptid";"preflabel";"modified";"altlabel";"definition"
"CS001229";"tridecanedioic acid";"9/3/2015 17:17:56";"13C alpha-omega alkanadioic acid brassylic acid";"Unavailable"
"CS001236";"tridecanoic acid";"9/3/2015 17:17:56";"C13:0FA tridecylic acid";"Unavailable"
"CS001243";"trifluralin";"9/3/2015 17:17:56";"";"Unavailable"
"CS001250";"triphenyltin cation";"9/3/2015 17:17:56";"TPT+";"Unavailable"
"CS001257";"tritriacontane";"9/3/2015 17:17:56";"C33H68 C33_n-alkane";"Unavailable"
"CS001264";"undecanedioic acid";"9/3/2015 17:17:56";"11C alpha-omega alkanadioic acid";"Unavailable"
"CS001271";"undecanoic acid";"9/3/2015 17:17:56";"C11:0FA";"Unavailable"
"CS001278";"gamma-chlordane";"9/3/2015 17:17:56";"trans-chlordane";"Unavailable"
"CS001285";"heneicosanoic acid";"9/3/2015 17:17:56";"C21:0FA henicosanic acid";"Unavailable"
"CS001292";"hentriacontane";"9/3/2015 17:17:56";"C31H64 C31_n-alkane";"Unavailable"
"CS001299";"heptadecan-1-ol";"9/3/2015 17:17:56";"C17 alkanol";"Unavailable"
"CS001306";"heptadecanoic acid";"2/26/2016 00:28:42";"C17:0FA margaric acid";"A saturated fatty acid."
"CS001313";"hexacosan-1-ol";"9/3/2015 17:17:56";"C26 alkanol ceryl alcohol";"Unavailable"
"CS001320";"hexacosanoic acid";"2/26/2016 00:28:42";"C26:0FA cerotic acid";"A saturated fatty acid."
"CS001327";"hexadecanedioic acid";"9/3/2015 17:17:56";"16C alpha-omega alkanadioic acid";"Unavailable"
"CS001334";"hexatriacontane";"9/3/2015 17:17:56";"C36H74 C36_n-alkane";"Unavailable"
"CS001341";"icosanedioic acid";"9/3/2015 17:17:56";"20C alpha-omega alkanadioic acid eicosanedioic acid";"Unavailable"
"CS001348";"malathion";"9/3/2015 17:17:56";"";"Unavailable"
"CS001355";"methanoate";"9/3/2015 17:17:56";"formate HCO2-";"Unavailable"
"CS001362";"metolachlor";"9/3/2015 17:17:56";"";"Unavailable"
"CS001369";"monobutyltin";"9/3/2015 17:17:56";"MBT butylstannane";"Unavailable"
"CS001376";"nonacosane";"9/3/2015 17:17:56";"C29H60 C29_n-alkane";"Unavailable"
"CS001383";"nonadecanoic acid";"9/3/2015 17:17:56";"C19:0FA";"Unavailable"
"CS001390";"octacosan-1-ol";"9/3/2015 17:17:56";"C28 alkanol cluytyl alcohol montanyl alcohol";"Unavailable"
"CS001397";"octadecan-1-ol";"9/3/2015 17:17:56";"C18 alkanol stearyl alcohol";"Unavailable"
"CS001404";"pentacosan-1-ol";"9/3/2015 17:17:56";"C25 alkanol";"Unavailable"
"CS001411";"pentadecan-1-ol";"9/3/2015 17:17:56";"C15 alkanol";"Unavailable"
"CS001418";"phytol";"9/3/2015 17:17:56";"";"Unavailable"
"CS001425";"pirimiphos-methyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS001432";"propoxur";"9/3/2015 17:17:56";"";"Unavailable"
"CS001439";"pyriproxyfen";"9/3/2015 17:17:56";"";"Unavailable"
"CS001446";"teflubenzuron";"9/3/2015 17:17:56";"";"Unavailable"
"CS001453";"tetracosan-1-ol";"9/3/2015 17:17:56";"C24 alkanol lignoceryl alcohol";"Unavailable"
"CS001460";"tetracosanoic acid";"9/3/2015 17:17:56";"C24:0FA lignoceric acid";"Unavailable"
"CS001467";"tetradecanedioic acid";"9/3/2015 17:17:56";"14C alpha-omega alkanadioic acid";"Unavailable"
"CS001474";"tetratriacontanoic acid";"9/3/2015 17:17:56";"C34:0FA geddic acid";"Unavailable"
"CS001481";"trans-9,trans-12-octadecadienoic acid";"9/3/2015 17:17:56";"linolelaidic acid";"Unavailable"
"CS001488";"triacontan-1-ol";"9/3/2015 17:17:56";"C30 alkanol melissyl alcohol myricyl alcohol";"Unavailable"
"CS001495";"triazophos";"9/3/2015 17:17:56";"";"Unavailable"
"CS001502";"tricosanoic acid";"9/3/2015 17:17:56";"C23:0FA";"Unavailable"
"CS001509";"(22E)-24-ergosta-5,22-dien-3beta-ol";"9/3/2015 17:17:56";"C28D5,22E brassicasterol";"Unavailable"
"CS001516";"1,2-dichloropropane";"8/17/2021 11:39:00";"";"A chlorocarbon with formula C3H6Cl2 produced as a byproduct in the production of the organochlorine epichlorohydrin, perchloroethylene and other chlorinated chemicals [Wikipedia, 17/08/2021]"
"CS001523";"1,6-dimethylnaphthalene";"9/3/2015 17:17:56";"";"Unavailable"
"CS001530";"2,2',4,4',5,5'-hexachlorobiphenyl";"9/10/2015 12:53:55";"PCB153";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001537";"2,3',4,4',5'-pentachlorobiphenyl";"9/10/2015 12:53:55";"PCB123";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001544";"2,3,4,4',5-pentachlorobiphenyl";"9/10/2015 12:53:55";"PCB114";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001551";"2,4-dichlorophenoxyacetic acid";"9/3/2015 17:17:56";"2,4-D";"Unavailable"
"CS001558";"2,6-dimethylnaphthalene";"9/3/2015 17:17:56";"";"Unavailable"
"CS001565";"3,3',4,4'-tetrachlorobiphenyl";"9/10/2015 12:53:55";"PCB77";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001572";"acetaldehyde";"9/3/2015 17:17:56";"ethanal CH3CHO";"Unavailable"
"CS001579";"atrazine";"9/3/2015 17:17:56";"";"Unavailable"
"CS001586";"azinphos-methyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS001593";"campest-5en-3beta-ol";"9/3/2015 17:17:56";"C28D5 campesterol";"Unavailable"
"CS001600";"chlorpropham";"9/3/2015 17:17:56";"";"Unavailable"
"CS001607";"anthoxanthins";"9/8/2015 09:39:06";"flavones+flavonols";"A group of water-soluble flavenoid pigments coloured white to creamy yellow often found in the petals of flowers"
"CS001621";"total mercury";"3/22/2016 09:43:06";"total_Hg";"Atomic mercury that is incorporated into any compound, including cations. Includes all oxidation states."
"CS001628";"2,2',3,3',4',5,5',6-octachlorobiphenyl";"9/10/2015 12:55:14";"PCB199";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001635";"2,2',3,3',4,4',5,5'-octachlorobiphenyl";"9/10/2015 12:55:14";"PCB194";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001642";"2,2',3,3',4,4',5-heptachlorobiphenyl";"9/10/2015 12:55:14";"PCB170";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001649";"2,2',3,3',4,4'-hexachlorobiphenyl";"9/10/2015 12:55:14";"PCB128";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001656";"2,2',3,3',4,5',6,6'-octachlorobiphenyl";"9/10/2015 12:55:14";"PCB201";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001663";"2,2',3,3',4,5,6'-heptachlorobiphenyl";"9/10/2015 12:55:14";"PCB174";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001670";"2,2',3,3',4,6'-hexachlorobiphenyl";"9/10/2015 12:55:14";"PCB132";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001677";"2,2',3,3',5,5',6,6'-octachlorobiphenyl";"9/10/2015 12:55:14";"PCB202";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001684";"2,2',3,4',5',6-hexachlorobiphenyl";"9/10/2015 12:55:14";"PCB149";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001691";"2,2',3,4',5'-pentachlorobiphenyl";"9/10/2015 12:55:14";"PCB97";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001698";"2,2',3,4',5,5',6-heptachlorobiphenyl";"9/10/2015 12:55:14";"PCB187";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001705";"2,2',3,4',5,6,6'-heptachlorobiphenyl";"9/10/2015 12:55:14";"PCB188";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001712";"2,2',3,4,4',5',6-heptachlorobiphenyl";"9/10/2015 12:55:14";"PCB183";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001719";"2,2',3,4,4',5'-hexachlorobiphenyl";"9/10/2015 12:55:14";"PCB138";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001726";"2,2',3,4,4',5,5',6-octachlorobiphenyl";"9/10/2015 12:55:14";"PCB203";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001733";"2,2',3,4,4',5,5'-heptachlorobiphenyl";"9/10/2015 12:55:14";"PCB180";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001740";"2,2',3,4,4',5-hexachlorobiphenyl";"9/10/2015 12:55:14";"PCB137";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001747";"2,2',3,4,4'-pentachlorobiphenyl";"9/10/2015 12:55:14";"PCB85";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001754";"2,2',3,4,5'-pentachlorobiphenyl";"9/10/2015 12:55:14";"PCB87";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001761";"2,2',3,4,5,5'-hexachlorobiphenyl";"9/10/2015 12:55:14";"PCB141";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001768";"2,2',3,5',6-pentachlorobiphenyl";"9/10/2015 12:55:14";"PCB95";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001775";"2,2',3,5'-tetrachlorobiphenyl";"9/10/2015 12:55:14";"PCB44";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001782";"2,2',3,5,5',6-hexachlorobiphenyl";"9/10/2015 12:55:14";"PCB151";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001789";"2,2',4,4',5-pentachlorobiphenyl";"9/10/2015 12:55:14";"PCB99";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001796";"2,2',4,5'-tetrachlorobiphenyl";"9/10/2015 12:55:14";"PCB49";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001803";"2,2',4,5,5'-pentachlorobiphenyl";"9/10/2015 12:55:14";"PCB101";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
