"conceptid";"preflabel";"modified";"altlabel";"definition"
"CS000004";"chlorophyll-c1";"8/20/2015 18:20:22";"chl-c1";"A common form of chlorophyll-c. It differs from chlorophyll-c2 in its C8 group, having an ethyl group instead of vinyl group (C-C single bond instead of C=C double bond)."
"CS000144";"organic phosphorus";"3/22/2016 09:55:19";"organic_P";"Atomic phosphorus that is incorporated into covalently-bonded carbon compounds. Generally determined by measuring inorganic phosphorus (phosphate) in oxidised and unoxidised subsamples and differencing"
"CS000151";"total phosphorus";"3/22/2016 09:43:06";"total_P";"Atomic phosphorus that is incorporated into any compound. Includes all oxidation states."
"CS000284";"total iron";"3/22/2016 09:43:06";"total_Fe";"Atomic iron that is incorporated into any compound, including cations. Includes all oxidation states."
"CS000298";"inorganic iron";"3/22/2016 09:55:19";"inorganic_Fe";"Atomic iron that is incorporated into any compound that is not a covalently-bonded carbon compound. Includes all oxidation states."
"CS000305";"total manganese";"3/22/2016 09:43:06";"total_Mn";"Atomic manganese that is incorporated into any compound or cations in solution. Includes all oxidation states."
"CS000319";"(22E)-stigmasta-5,22-dien-3beta-ol";"9/3/2015 11:02:58";"stigmasterol";"A plant sterol (3beta-sterol) that consists of 3beta-hydroxystigmastane having double bonds at the 5,6- and 22,23-positions."
"CS000326";"cholest-5-en-3beta-ol";"9/3/2015 17:17:56";"cholesterol";"Unavailable"
"CS000333";"cis-1,2-dichloroethene";"9/3/2015 17:17:56";"";"Unavailable"
"CS000340";"cis-13-docosenoic acid";"2/26/2016 00:28:42";"erucic acid C22:1FA cis-13";"A monounsaturated omega-9 fatty acid."
"CS000347";"cis-15-tetracosaenoic acid";"9/3/2015 17:17:56";"nervonic acid C24:1FA cis-15";"Unavailable"
"CS000354";"cis-5,cis-8,cis-11,cis-14,cis-17-eicosapentaenoic acid";"2/26/2016 00:28:42";"timnodonic acid C20:5FA cis5,8,11,14,17";"A polyunsaturated omega-3 fatty acid."
"CS000361";"cis-5,cis-8,cis-11,cis-14-eicosatetraenoic acid";"2/26/2016 00:28:42";"arachidonic acid C20:4FA cis 5,8,11,1";"A polyunsaturated omega-6 fatty acid."
"CS000368";"cis-6,cis-9,cis-12-octadecatrienoic acid";"2/26/2016 00:28:42";"gamma-linolenic acid";"A fatty acid."
"CS000375";"coumaphos";"9/3/2015 17:17:56";"";"Unavailable"
"CS000382";"decabromodiphenyl ether";"9/3/2015 17:17:56";"BDE209 decabromodiphenyl oxide";"Unavailable"
"CS000389";"decanedioic acid";"9/3/2015 17:17:56";"10C alpha-omega alkanadioic acid sebacic acid";"Unavailable"
"CS000396";"delta-hexachlorocyclohexane";"9/3/2015 17:17:56";"delta-HCH";"Unavailable"
"CS000403";"deltamethrin";"9/3/2015 17:17:56";"";"Unavailable"
"CS000410";"demeton-s";"9/3/2015 17:17:56";"";"Unavailable"
"CS000417";"demeton-s-methyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS000424";"diazinon";"9/3/2015 17:17:56";"";"Unavailable"
"CS000431";"dibutyltin";"9/3/2015 17:17:56";"DBT dibutylstannane";"Unavailable"
"CS000438";"dimethoate";"9/3/2015 17:17:56";"";"Unavailable"
"CS000445";"dimethylsulphoniopropionate";"9/3/2015 17:17:56";"DMSP dimethylsulfoniopropionate";"Unavailable"
"CS000452";"diphenyltin";"9/3/2015 17:17:56";"DPT diphenylstannane";"Unavailable"
"CS000459";"dithianon";"9/3/2015 17:17:56";"";"Unavailable"
"CS000466";"docosan-1-ol";"9/3/2015 17:17:56";"C22 alkanol behenyl alcohol behenic alcohol";"Unavailable"
"CS000473";"docosane";"9/3/2015 17:17:56";"C22H46 C22_n-alkane";"Unavailable"
"CS000480";"docosanedioic acid";"9/3/2015 17:17:56";"22C alpha-omega alkanadioic acid behenic acid";"Unavailable"
"CS000487";"dodecan-1-ol";"9/3/2015 17:17:56";"C12 alkanol lauryl alcohol";"Unavailable"
"CS000494";"dodecanedioic acid";"9/3/2015 17:17:56";"12C alpha-omega alkanadioic acid";"Unavailable"
"CS000501";"dodecanoic acid";"9/3/2015 17:17:56";"C12:0FA lauric acid";"Unavailable"
"CS000508";"dodine";"9/3/2015 17:17:56";"1-dodecylguanidine acetate";"Unavailable"
"CS000515";"dotriacontan-1-ol";"9/3/2015 17:17:56";"C32 alkanol";"Unavailable"
"CS000522";"dotriacontane";"9/3/2015 17:17:56";"C32H66 C32_n-alkane";"Unavailable"
"CS000529";"dotriacontanoic acid";"9/3/2015 17:17:56";"C32:0FA lacceroic acid";"Unavailable"
"CS000536";"eicosane";"9/3/2015 17:17:56";"C20H42 C20_n-alkane icosane";"Unavailable"
"CS000543";"esfenvalerate";"9/3/2015 17:17:56";"";"Unavailable"
"CS000550";"estrone";"9/3/2015 17:17:56";"oestrone";"Unavailable"
"CS000557";"ethinyl estradiol";"9/3/2015 17:17:56";"ethinyloestradiol";"Unavailable"
"CS000564";"fenamiphos";"9/3/2015 17:17:56";"";"Unavailable"
"CS000571";"fenitrothion";"9/3/2015 17:17:56";"";"Unavailable"
"CS000578";"fenoxycarb";"8/23/2021 17:52:59";"";"Chemical substance used as an insecticide."
"CS000585";"fenthion";"9/3/2015 17:17:56";"";"Unavailable"
"CS000592";"flucofuron";"9/3/2015 17:17:56";"";"Unavailable"
"CS000599";"heneicosane";"9/3/2015 17:17:56";"C21H44 C21_n-alkane henicosane";"Unavailable"
"CS000606";"henicosan-1-ol";"9/3/2015 17:17:56";"C21 alkanol";"Unavailable"
"CS000613";"hentriacontan-1-ol";"9/3/2015 17:17:56";"C31 alkanol";"Unavailable"
"CS000620";"heptacosane";"9/3/2015 17:17:56";"C27H56 C27_n-alkane";"Unavailable"
"CS000627";"heptacosanoic acid";"9/3/2015 17:17:56";"C27:0FA";"Unavailable"
"CS000634";"heptadecane";"9/3/2015 17:17:56";"C17H36 C17_n-alkane";"Unavailable"
"CS000641";"heptenophos";"9/3/2015 17:17:56";"";"Unavailable"
"CS000648";"hexachloroethane";"9/3/2015 17:17:56";"";"Unavailable"
"CS000655";"hexacosane";"9/3/2015 17:17:56";"C26H54 C26_n-alkane";"Unavailable"
"CS000662";"hexadecan-1-ol";"9/3/2015 17:17:56";"C16 alkanol cetyl alcohol";"Unavailable"
"CS000669";"hexadecanoic acid";"2/26/2016 00:28:42";"C16:0FA palmitic acid";"A saturated fatty acid."
"CS000676";"icosan-1-ol";"9/3/2015 17:17:56";"C20 alkanol arachidyl alcohol";"Unavailable"
"CS000683";"imidacloprid";"9/3/2015 17:17:56";"";"Unavailable"
"CS000690";"isoproturon";"9/3/2015 17:17:56";"";"Unavailable"
"CS000697";"linuron";"9/3/2015 17:17:56";"";"Unavailable"
"CS000704";"methabenzthiazuron";"9/3/2015 17:17:56";"";"Unavailable"
"CS000711";"methanol";"9/3/2015 17:17:56";"CH3OH";"Unavailable"
"CS000718";"methylchlorophenoxypropionic acid";"9/3/2015 17:17:56";"mecoprop";"Unavailable"
"CS000725";"metsulfuron-methyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS000732";"mevinphos";"9/3/2015 17:17:56";"";"Unavailable"
"CS000739";"monolinuron";"9/3/2015 17:17:56";"";"Unavailable"
"CS000746";"nonacosanoic acid";"9/3/2015 17:17:56";"C29:0FA";"Unavailable"
"CS000753";"nonadecane";"9/3/2015 17:17:56";"C19H40 C19_n-alkane";"Unavailable"
"CS000760";"octacosane";"9/3/2015 17:17:56";"C28H58 C28_n-alkane";"Unavailable"
"CS000767";"octacosanoic acid";"9/3/2015 17:17:56";"C28:0FA montanic acid";"Unavailable"
"CS000774";"octadecane";"9/3/2015 17:17:56";"C18H38 C18_n-alkane";"Unavailable"
"CS000781";"parathion-ethyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS000788";"pentacosane";"9/3/2015 17:17:56";"C25H52 C25_n-alkane";"Unavailable"
"CS000795";"pentacosanoic acid";"9/3/2015 17:17:56";"C25:0FA";"Unavailable"
"CS000802";"pentadecanoic acid";"2/26/2016 00:28:42";"C15:0FA pentadecylic acid";"A saturated fatty acid."
"CS000809";"pirimicarb";"9/3/2015 17:17:56";"";"Unavailable"
"CS000816";"propazine";"9/3/2015 17:17:56";"";"Unavailable"
"CS000823";"propetamphos";"9/3/2015 17:17:56";"";"Unavailable"
"CS000830";"pyridaben";"9/3/2015 17:17:56";"";"Unavailable"
"CS000837";"simazine";"9/3/2015 17:17:56";"";"Unavailable"
"CS000844";"sulcofuron";"9/3/2015 17:17:56";"";"Unavailable"
"CS000851";"terbutryn";"9/3/2015 17:17:56";"";"Unavailable"
"CS000858";"terbuthylazine";"6/30/2020 16:08:56";"TBA";"An herbicide."
"CS000865";"tetracosane";"9/3/2015 17:17:56";"C24H50 C24_n-alkane";"Unavailable"
"CS000872";"tetradecan-1-ol";"9/3/2015 17:17:56";"C14 alkanol myristyl alcohol";"Unavailable"
"CS000879";"tetradecanoic acid";"2/26/2016 00:28:42";"C14:0FA myristic acid";"A saturated fatty acid."
"CS000886";"tetratriacontan-1-ol";"9/3/2015 17:17:56";"C34 alkanol geddyl alcohol";"Unavailable"
"CS000893";"tolclofos-methyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS000900";"trans-9-octadecenoic acid";"9/3/2015 17:17:56";"elaidic acid C18:1FA tr-9";"Unavailable"
"CS000907";"triacontane";"9/3/2015 17:17:56";"C30H62 C30_n-alkane";"Unavailable"
"CS000914";"triacontanoic acid";"9/3/2015 17:17:56";"C30:0FA melissic acid";"Unavailable"
"CS000921";"tricosan-1-ol";"9/3/2015 17:17:56";"C23 alkanol";"Unavailable"
"CS000928";"tricosane";"9/3/2015 17:17:56";"C23H48 C23_n-alkane";"Unavailable"
"CS000935";"tridecan-1-ol";"9/3/2015 17:17:56";"C13 alkanol 1-tridecanol";"Unavailable"
"CS000942";"1,1-dichloroethane";"9/3/2015 17:17:56";"";"Unavailable"
"CS000949";"1,2,3-trichlorobenzene";"7/3/2020 18:57:34";"1,2,3-TCB";"One of 3 isomers of trichlorobenzene."
"CS000956";"1,2,4-trichlorobenzene";"7/3/2020 18:57:34";"1,2,4-TCB";"One of 3 isomers of trichlorobenzene."
"CS000963";"1,2-dimethylbenzene";"6/30/2020 15:54:37";"1,2-xylene o-xylene";"A monocyclic aromatic hydrocarbon with formula C6H4(CH3)2."
"CS000970";"1,3,5-trichlorobenzene";"7/3/2020 18:57:34";"1,3,5-TCB";"One of 3 isomers of trichlorobenzene."
"CS000977";"1-methylchrysene";"9/3/2015 17:17:56";"";"Unavailable"
"CS000984";"1-methylphenanthrene";"9/3/2015 17:17:56";"";"Unavailable"
"CS000991";"2,2',3,4,4',5',6-heptabromodiphenyl ether";"9/3/2015 17:17:56";"BDE183";"Unavailable"
"CS000998";"2,2',4,4',5,5'-hexabromodiphenyl ether";"9/3/2015 17:17:56";"BDE153";"Unavailable"
"CS001005";"2,2',4,4',5,6'-hexabromodiphenyl ether";"9/3/2015 17:17:56";"BDE154";"Unavailable"
"CS001012";"2,2',4,4',5-pentabromodiphenyl ether";"9/3/2015 17:17:56";"BDE99";"Unavailable"
"CS001019";"2,2',4,4',6,6'-hexachlorobiphenyl";"9/10/2015 12:53:55";"PCB155";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001026";"2,2',4,4'-tetrabromodiphenyl ether";"9/3/2015 17:17:56";"BDE47";"Unavailable"
"CS001033";"2,2',4,4'-tetrachlorobiphenyl";"9/10/2015 12:53:55";"PCB47";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001040";"2,2',4,5'-tetrabromodiphenyl ether";"9/3/2015 17:17:56";"BDE49";"Unavailable"
"CS001047";"2,2',5,5'-tetrachlorobiphenyl";"9/10/2015 12:53:55";"PCB52";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001054";"2,3',4,4',5,5'-hexachlorobiphenyl";"9/10/2015 12:53:55";"PCB167";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001061";"2,3',4,4',5-pentachlorobiphenyl";"9/10/2015 12:53:55";"PCB118";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001068";"2,3,3',4,4',5'-hexachlorobiphenyl";"9/10/2015 12:53:55";"PCB157";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001075";"2,3,3',4,4',5,5'-heptachlorobiphenyl";"9/10/2015 12:53:55";"PCB189";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001082";"2,3,3',4,4',5-hexachlorobiphenyl";"9/10/2015 12:53:55";"PCB156";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001089";"2,3,3',4,4'-pentachlorobiphenyl";"9/10/2015 12:53:55";"PCB105";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001096";"2,4'-dichlorobiphenyl";"9/10/2015 12:53:55";"PCB8";"One of 209 polychorobiphenyl congeners - different configurations of between 2 and 10 chlorine atoms attached to two coupled benzene rings. A persistant organic pollutant."
"CS001103";"2,4'-dichlorodiphenyldichloroethane";"9/3/2015 17:17:56";"o,p'-DDD mitotane";"Unavailable"
"CS001110";"2,4'-dichlorodiphenyldichloroethylene";"9/3/2015 17:17:56";"o,p'-DDE";"Unavailable"
"CS001117";"2,4'-dichlorodiphenyltrichloroethane";"9/3/2015 17:17:56";"o,p'-DDT";"Unavailable"
"CS001124";"dichloroprop";"9/3/2015 17:17:56";"2,4-DP 2,4-dichlorophenoxypropionic acid";"Unavailable"
"CS001131";"24-ethylcholest-5-en-3beta-ol";"9/3/2015 17:17:56";"beta-sitosterol";"Unavailable"
"CS001138";"24-methyl-5alpha-cholestan-3beta-ol";"9/3/2015 17:17:56";"C28D0 campestanol";"Unavailable"
"CS001145";"4-chloro-2-methylphenoxyacetic acid";"9/3/2015 17:17:56";"MCPA";"Unavailable"
"CS001152";"4-chloro-3-methylphenol";"9/3/2015 17:17:56";"4-chloro-m-cresol";"Unavailable"
"CS001159";"5alpha-cholest-7en-3beta-ol";"9/3/2015 17:17:56";"C27D7";"Unavailable"
"CS001166";"acetone";"9/3/2015 17:17:56";"propanone (CH3)2CO";"Unavailable"
"CS001173";"alachlor";"9/3/2015 17:17:56";"";"Unavailable"
"CS001180";"azinphos-ethyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS001187";"bentazone";"6/30/2020 16:03:15";"bentazon";"Chemical used in herbicides."
"CS001194";"bis(2-ethylhexyl)phthalate";"9/3/2015 17:17:56";"DEHP";"Unavailable"
"CS001201";"chlorfenvinphos";"9/3/2015 17:17:56";"chlorfenvinfos";"Unavailable"
"CS001208";"chloridazon";"9/3/2015 17:17:56";"";"Unavailable"
"CS001215";"chlorpyrifos-methyl";"9/3/2015 17:17:56";"";"Unavailable"
"CS001222";"chlortoluron";"6/30/2020 16:00:54";"chlorotoluron";"A herbicide."
