ID;SDN_P01_code;Aquo_Grootheid_code;Aquo_ChemischeStof_code;Aquo_biotaxon_code;Aquo_Compartiment_code;Aquo_Monstercriterium_code;Aquo_Hoedanigheid_code;D_BEGIN;D_EIND;D_STATUS
61;"N295S30Z";"AANTPOPVTE";;"Lagis koreni";"BS";;;11-12-2014;;"G"
62;"N297S20Z";"AANTPOPVTE";;"Lanice conchilega";"BS";;;11-12-2014;;"G"
63;"N320S00G";"AANTPOPVTE";;"Nephtys";"BS";;;11-12-2014;;"G"
64;"N320S10Z";"AANTPOPVTE";;"Nephtys caeca";"BS";;;11-12-2014;;"G"
65;"N320S15Z";"AANTPOPVTE";;"Nephtys cirrosa";"BS";;;11-12-2014;;"G"
66;"N320S50Z";"AANTPOPVTE";;"Nephtys longosetosa";"BS";;;11-12-2014;;"G"
67;"N325S50Z";"AANTPOPVTE";;"Notomastus latericeus";"BS";;;11-12-2014;;"G"
68;"N336S20Z";"AANTPOPVTE";;"Owenia fusiformis";"BS";;;11-12-2014;;"G"
69;"N344S50Z";"AANTPOPVTE";;"Pholoe minuta";"BS";;;11-12-2014;;"G"
70;"N348S75Z";"AANTPOPVTE";;"Poecilochaetus serpens";"BS";;;11-12-2014;;"G"
71;"N350S00Z";"AANTPOPVTE";;"Polycirrus";"BS";;;11-12-2014;;"G"
72;"N353S00Z";"AANTPOPVTE";;"Polydora";"BS";;;11-12-2014;;"G"
73;"N372S00Z";"AANTPOPVTE";;"Scolelepis";"BS";;;11-12-2014;;"G"
74;"N372S10Z";"AANTPOPVTE";;"Scolelepis bonnieri";"BS";;;11-12-2014;;"G"
75;"N374S05Z";"AANTPOPVTE";;"Scoloplos armiger";"BS";;;11-12-2014;;"G"
76;"N378S50Z";"AANTPOPVTE";;"Spio martinensis";"BS";;;11-12-2014;;"G"
77;"N382S10Z";"AANTPOPVTE";;"Spiophanes bombyx";"BS";;;11-12-2014;;"G"
78;"N388S00A";"AANTPOPVTE";;"Terebellidae";"BS";;;11-12-2014;;"G"
79;"N396S30Z";"AANTPOPVTE";;"Travisia forbesii";"BS";;;11-12-2014;;"G"
80;"N415S70Z";"AANTPOPVTE";;"Atylus swammerdami";"BS";;;11-12-2014;;"G"
81;"N420S00Z";"AANTPOPVTE";;"Bathyporeia";"BS";;;11-12-2014;;"G"
82;"N425S05Z";"AANTPOPVTE";;"Bodotria arenosa";"BS";;;11-12-2014;;"G"
83;"N425S70Z";"AANTPOPVTE";;"Bodotria scorpioides";"BS";;;11-12-2014;;"G"
84;"N430S00Z";"AANTPOPVTE";;"Callianassa";"BS";;;11-12-2014;;"G"
85;"N430S50Z";"AANTPOPVTE";;"Callianassa subterranea";"BS";;;11-12-2014;;"G"
86;"N440S00Z";"AANTPOPVTE";;"Corophium";"BS";;;11-12-2014;;"G"
87;"N443S20Z";"AANTPOPVTE";;"Crangon crangon";"BS";;;11-12-2014;;"G"
88;"N493S70Z";"AANTPOPVTE";;"Gastrosaccus spinifer";"BS";;;11-12-2014;;"G"
89;"N520S00A";"AANTPOPVTE";;"Liocarcinus";"BS";;;11-12-2014;;"G"
90;"N520S50Z";"AANTPOPVTE";;"Liocarcinus marmoreus";"BS";;;11-12-2014;;"G"
91;"N550S00Z";"AANTPOPVTE";;"Photis";"BS";;;11-12-2014;;"G"
92;"N555S55Z";"AANTPOPVTE";;"Pisidia longicornis";"BS";;;11-12-2014;;"G"
93;"N560S05Z";"AANTPOPVTE";;"Pontocrates altamarinus";"BS";;;11-12-2014;;"G"
94;"N580S00Z";"AANTPOPVTE";;"Stenothoe";"BS";;;11-12-2014;;"G"
95;"N595S00Z";"AANTPOPVTE";;"Urothoe";"BS";;;11-12-2014;;"G"
96;"N595S60Z";"AANTPOPVTE";;"Urothoe poseidonis";"BS";;;11-12-2014;;"G"
97;"N601S10Z";"AANTPOPVTE";;"Abra alba";"BS";;;11-12-2014;;"G"
98;"N720S05Z";"AANTPOPVTE";;"Mya arenaria";"BS";;;11-12-2014;;"G"
99;"N760S50Z";"AANTPOPVTE";;"Phaxas pellucidus";"BS";;;11-12-2014;;"G"
100;"N805S75Z";"AANTPOPVTE";;"Amphipholis squamata";"BS";;;11-12-2014;;"G"
101;"N815S75Z";"AANTPOPVTE";;"Asterias rubens";"BS";;;11-12-2014;;"G"
102;"N840S20Z";"AANTPOPVTE";;"Echinocardium cordatum";"BS";;;11-12-2014;;"G"
103;"N925S05Z";"AANTPOPVTE";;"Ophiura albida";"BS";;;11-12-2014;;"G"
104;"NA90S00Z";"AANTPOPVTE";;"Nemertea";"BS";;;11-12-2014;;"G"
105;"NIXXZZZZ";"CONCTTE";"Ni";;"OW";;"nf";11-12-2014;;"G"
106;"ODDTUF02";"CONCTTE";"24DDT";;"OW";;;11-12-2014;;"G"
574;"ODSDM021";"SALNTT";;;"OW";;"NVT";01-10-2016;;"G"
107;"OXMFD004";"AANTPOPVTE";;"Echinodermata";"BS";;;11-12-2014;;"G"
108;"PAHSM001";"MASSFTE";"Ant";;"ZS";;"dg";11-12-2014;;"G"
109;"PAHSM004";"MASSFTE";"BbF";;"ZS";;"dg";11-12-2014;;"G"
110;"PAHSM005";"MASSFTE";"BaP";;"ZS";;"dg";11-12-2014;;"G"
111;"PAHSM006";"MASSFTE";"BghiPe";;"ZS";;"dg";11-12-2014;;"G"
112;"PAHSM007";"MASSFTE";"BkF";;"ZS";;"dg";11-12-2014;;"G"
113;"PAHSM009";"MASSFTE";"Flu";;"ZS";;"dg";11-12-2014;;"G"
114;"PAHSM010";"MASSFTE";"InP";;"ZS";;"dg";11-12-2014;;"G"
115;"PBAFWC01";"CONCTTE";"Pb";;"OW";;"nf";11-12-2014;;"G"
116;"PBUFWC02";"CONCTTE";"Pb";;"OW";;;11-12-2014;;"G"
117;"PDDTUF02";"CONCTTE";"44DDT";;"OW";;;11-12-2014;;"G"
573;"PHOSKGDS";"CONCTTE";"PO4";;"OW";;"Pnf";01-10-2016;;"G"
575;"PSSTTS01";"T";;;"OW";;"NVT";04-10-2016;;"G"
118;"RWS00001";"CONCTTE";"111TClC2a";;"OW";;;11-12-2014;;"G"
119;"RWS00002";"CONCTTE";"1122T4ClC2a";;"OW";;;11-12-2014;;"G"
120;"RWS00003";"CONCTTE";"112TClC2a";;"OW";;;11-12-2014;;"G"
121;"RWS00004";"CONCTTE";"11DClC2a";;"OW";;;11-12-2014;;"G"
122;"RWS00005";"CONCTTE";"11DClC2e";;"OW";;;11-12-2014;;"G"
123;"RWS00006";"CONCTTE";"123TClBen";;"OW";;;11-12-2014;;"G"
124;"RWS00007";"CONCTTE";"124TClBen";;"OW";;;11-12-2014;;"G"
125;"RWS00008";"CONCTTE";"12DClBen";;"OW";;;11-12-2014;;"G"
126;"RWS00009";"CONCTTE";"12DClC2a";;"OW";;;11-12-2014;;"G"
127;"RWS00010";"CONCTTE";"12DClC3a";;"OW";;;11-12-2014;;"G"
128;"RWS00011";"CONCTTE";"12xyln";;"OW";;;11-12-2014;;"G"
129;"RWS00012";"CONCTTE";"135TClBen";;"OW";;;11-12-2014;;"G"
130;"RWS00013";"CONCTTE";"13DClBen";;"OW";;;11-12-2014;;"G"
131;"RWS00014";"CONCTTE";"14DClBen";;"OW";;;11-12-2014;;"G"
132;"RWS00015";"CONCTTE";"alCl";;"OW";;;11-12-2014;;"G"
133;"RWS00016";"CONCTTE";"aldn";;"OW";;;11-12-2014;;"G"
134;"RWS00017";"CONCTTE";"aedsfn";;"OW";;;11-12-2014;;"G"
135;"RWS00018";"CONCTTE";"bentzn";;"OW";;;11-12-2014;;"G"
136;"RWS00019";"CONCTTE";"bedsfn";;"OW";;;11-12-2014;;"G"
137;"RWS00020";"CONCTTE";"ClBen";;"OW";;;11-12-2014;;"G"
138;"RWS00021";"CONCTTE";"Na";;"OW";;;11-12-2014;;"G"
139;"RWS00022";"CONCTTE";"K";;"OW";;;11-12-2014;;"G"
140;"RWS00023";"CONCTTE";"Ca";;"OW";;;11-12-2014;;"G"
141;"RWS00024";"CONCTTE";"Mg";;"OW";;;11-12-2014;;"G"
142;"RWS00025";"CONCTTE";"As";;"OW";;;11-12-2014;;"G"
143;"RWS00026";"CONCTTE";"Se";;"OW";;;11-12-2014;;"G"
144;"RWS00027";"CONCTTE";"Ni";;"OW";;;11-12-2014;;"G"
145;"RWS00028";"CONCTTE";"Zn";;"OW";;;11-12-2014;;"G"
146;"RWS00029";"CONCTTE";"Ba";;"OW";;;11-12-2014;;"G"
147;"RWS00030";"CONCTTE";"Be";;"OW";;;11-12-2014;;"G"
148;"RWS00031";"CONCTTE";"Sb";;"OW";;;11-12-2014;;"G"
149;"RWS00032";"CONCTTE";"Mn";;"OW";;;11-12-2014;;"G"
150;"RWS00033";"CONCTTE";"Fe";;"OW";;;11-12-2014;;"G"
151;"RWS00034";"CONCTTE";"B";;"OW";;;11-12-2014;;"G"
152;"RWS00035";"CONCTTE";"U";;"OW";;;11-12-2014;;"G"
153;"RWS00036";"CONCTTE";"Te";;"OW";;;11-12-2014;;"G"
154;"RWS00037";"CONCTTE";"Ag";;"OW";;;11-12-2014;;"G"
155;"RWS00038";"CONCTTE";"Ti";;"OW";;;11-12-2014;;"G"
156;"RWS00039";"CONCTTE";"Co";;"OW";;;11-12-2014;;"G"
157;"RWS00040";"CONCTTE";"Mo";;"OW";;;11-12-2014;;"G"
158;"RWS00041";"CONCTTE";"Sn";;"OW";;;11-12-2014;;"G"
159;"RWS00042";"CONCTTE";"V";;"OW";;;11-12-2014;;"G"
160;"RWS00043";"CONCTTE";"Tl";;"OW";;;11-12-2014;;"G"
161;"RWS00044";"CONCTTE";"Sr";;"OW";;;11-12-2014;;"G"
162;"RWS00045";"CONCTTE";"Li";;"OW";;;11-12-2014;;"G"
163;"RWS00046";"CONCTTE";"Rb";;"OW";;;11-12-2014;;"G"
164;"RWS00047";"CONCTTE";"cHCH";;"OW";;;11-12-2014;;"G"
165;"RWS00048";"CONCTTE";"24DP";;"OW";;;11-12-2014;;"G"
166;"RWS00049";"CONCTTE";"44DDD";;"OW";;;11-12-2014;;"G"
167;"RWS00050";"CONCTTE";"44DDE";;"OW";;;11-12-2014;;"G"
168;"RWS00051";"CONCTTE";"PBDE209";;"OW";;;11-12-2014;;"G"
169;"RWS00052";"CONCTTE";"PBDE138";;"OW";;;11-12-2014;;"G"
170;"RWS00053";"CONCTTE";"PBDE85";;"OW";;;11-12-2014;;"G"
171;"RWS00054";"CONCTTE";"PBDE153";;"OW";;;11-12-2014;;"G"
172;"RWS00055";"CONCTTE";"PBDE154";;"OW";;;11-12-2014;;"G"
173;"RWS00056";"CONCTTE";"PBDE99";;"OW";;;11-12-2014;;"G"
174;"RWS00057";"CONCTTE";"PBDE100";;"OW";;;11-12-2014;;"G"
175;"RWS00058";"CONCTTE";"PBDE47";;"OW";;;11-12-2014;;"G"
176;"RWS00059";"CONCTTE";"PBDE49";;"OW";;;11-12-2014;;"G"
177;"RWS00060";"CONCTTE";"PBDE28";;"OW";;;11-12-2014;;"G"
178;"RWS00061";"CONCTTE";"aHCH";;"OW";;;11-12-2014;;"G"
179;"RWS00062";"CONCTTE";"bHCH";;"OW";;;11-12-2014;;"G"
180;"RWS00063";"CONCTTE";"135TClBen";;"OW";;;11-12-2014;;"G"
181;"RWS00064";"CONCTTE";"124TClBen";;"OW";;;11-12-2014;;"G"
182;"RWS00065";"CONCTTE";"123TClBen";;"OW";;;11-12-2014;;"G"
183;"RWS00066";"CONCTTE";"irgrl";;"OW";;;11-12-2014;;"G"
184;"RWS00067";"CONCTTE";"DC4ySn";;"OW";;;11-12-2014;;"G"
185;"RWS00068";"CONCTTE";"DFySn";;"OW";;;11-12-2014;;"G"
186;"RWS00069";"CONCTTE";"T4C4ySn";;"OW";;;11-12-2014;;"G"
187;"RWS00070";"CONCTTE";"TFySn";;"OW";;;11-12-2014;;"G"
188;"RWS00071";"CONCTTE";"DEHP";;"OW";;;11-12-2014;;"G"
189;"RWS00072";"CONCTTE";"captn";;"OW";;;11-12-2014;;"G"
190;"RWS00073";"CONCTTE";"Clfvfs";;"OW";;;11-12-2014;;"G"
191;"RWS00074";"CONCTTE";"Clpfm";;"OW";;;11-12-2014;;"G"
192;"RWS00075";"CONCTTE";"C2yClprfs";;"OW";;;11-12-2014;;"G"
193;"RWS00076";"CONCTTE";"Cltlrn";;"OW";;;11-12-2014;;"G"
194;"RWS00077";"CONCTTE";"Clidzn";;"OW";;;11-12-2014;;"G"
195;"RWS00078";"CONCTTE";"cumfs";;"OW";;;11-12-2014;;"G"
196;"RWS00079";"CONCTTE";"dmtn";;"OW";;;11-12-2014;;"G"
197;"RWS00080";"CONCTTE";"Daznn";;"OW";;;11-12-2014;;"G"
198;"RWS00081";"CONCTTE";"DClvs";;"OW";;;11-12-2014;;"G"
199;"RWS00082";"CONCTTE";"dieldn";;"OW";;;11-12-2014;;"G"
200;"RWS00083";"CONCTTE";"Dmtat";;"OW";;;11-12-2014;;"G"
201;"RWS00084";"CONCTTE";"Dtann";;"OW";;;11-12-2014;;"G"
202;"RWS00085";"CONCTTE";"dodne";;"OW";;;11-12-2014;;"G"
203;"RWS00086";"CONCTTE";"endn";;"OW";;;11-12-2014;;"G"
204;"RWS00087";"CONCTTE";"esfvlrt";;"OW";;;11-12-2014;;"G"
205;"RWS00088";"CONCTTE";"C2yazfs";;"OW";;;11-12-2014;;"G"
206;"RWS00089";"CONCTTE";"C2yprton";;"OW";;;11-12-2014;;"G"
207;"RWS00090";"CONCTTE";"fenamfs";;"OW";;;11-12-2014;;"G"
208;"RWS00091";"CONCTTE";"feNO2ton";;"OW";;;11-12-2014;;"G"
209;"RWS00092";"CONCTTE";"fenOxcb";;"OW";;;11-12-2014;;"G"
210;"RWS00093";"CONCTTE";"C2yBen";;"OW";;;11-12-2014;;"G"
211;"RWS00094";"CONCTTE";"fenton";;"OW";;;11-12-2014;;"G"
212;"RWS00095";"CONCTTE";"HpCl";;"OW";;;11-12-2014;;"G"
213;"RWS00096";"CONCTTE";"heptnfs";;"OW";;;11-12-2014;;"G"
214;"RWS00097";"CONCTTE";"imdcpd";;"OW";;;11-12-2014;;"G"
215;"RWS00098";"CONCTTE";"idn";;"OW";;;11-12-2014;;"G"
216;"RWS00099";"CONCTTE";"iptrn";;"OW";;;11-12-2014;;"G"
217;"RWS00100";"CONCTTE";"lcyhltn";;"OW";;;11-12-2014;;"G"
218;"RWS00101";"CONCTTE";"linrn";;"OW";;;11-12-2014;;"G"
219;"RWS00102";"CONCTTE";"malton";;"OW";;;11-12-2014;;"G"
220;"RWS00103";"CONCTTE";"metbtazrn";;"OW";;;11-12-2014;;"G"
221;"RWS00104";"CONCTTE";"C1yazfs";;"OW";;;11-12-2014;;"G"
222;"RWS00105";"CONCTTE";"C1yClprfs";;"OW";;;11-12-2014;;"G"
223;"RWS00106";"CONCTTE";"C1ymsfrn";;"OW";;;11-12-2014;;"G"
224;"RWS00107";"CONCTTE";"metlCl";;"OW";;;11-12-2014;;"G"
225;"RWS00108";"CONCTTE";"mevfs";;"OW";;;11-12-2014;;"G"
226;"RWS00109";"CONCTTE";"Mlnrn";;"OW";;;11-12-2014;;"G"
227;"RWS00110";"CONCTTE";"Naf";;"OW";;;11-12-2014;;"G"
228;"RWS00111";"CONCTTE";"C1yprton";;"OW";;;11-12-2014;;"G"
229;"RWS00112";"CONCTTE";"pirmcb";;"OW";;;11-12-2014;;"G"
230;"RWS00113";"CONCTTE";"C1yprmfs";;"OW";;;11-12-2014;;"G"
231;"RWS00114";"CONCTTE";"propxr";;"OW";;;11-12-2014;;"G"
232;"RWS00115";"CONCTTE";"pyrdbn";;"OW";;;11-12-2014;;"G"
