AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Compartiment.Code;Compartiment.Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving
26;Activiteitsconcentratie bismuth 214 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Bi214;bismuth 214
27;Activiteitsconcentratie kobalt 58 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Co58;kobalt 58
28;Activiteitsconcentratie kobalt 60 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Co60;kobalt 60
29;Activiteitsconcentratie cesium 134 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Cs134;cesium 134
30;Activiteitsconcentratie cesium 137 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Cs137;cesium 137
31;Activiteitsconcentratie indium 111 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;In111;indium 111
32;Activiteitsconcentratie jodium 131 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;I131;jodium 131
33;Activiteitsconcentratie kalium 40 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;K40;kalium 40
34;Activiteitsconcentratie lutetium 177 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Lu177;lutetium 177
35;Activiteitsconcentratie mangaan 54 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Mn54;mangaan 54
36;Activiteitsconcentratie lood 210 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Pb210;lood 210
37;Activiteitsconcentratie ruthenium 103 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Ru103;ruthenium 103
38;Activiteitsconcentratie ruthenium 106 in Bodem/Sediment t.o.v. drooggewicht in Bq/kg;BS;Bodem/Sediment;Bq/kg;becquerel per kilogram;ACTVTCCTTE;Activiteitsconcentratie;dg;t.o.v. drooggewicht;Ru106;ruthenium 106
