Grootheid.Code;Grootheid.Omschrijving;S06 (direct match);S29 Direct match;nearest match to any;S02 (direct match, model relationship);Matrix 
AV10_H;Aantal vrijheidsgraden bij het variantiedichtheidspectrum;?;;http://vocab.nerc.ac.uk/collection/S06/current/S0600115/ ??;;
AV10_R;Aantal vrijheidsgraden behorend bij het golfrichtingspectrum;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600118/;;
E;Extinctie;?;;?;;
GEURVDNFTR;Geurverdunningsfactor;?;;?;;
pH;Zuurgraad;http://vocab.nerc.ac.uk/collection/S06/current/S0600278/;;;;
REUK;Reuk;?;;?;;
GOLFHTE;Golfhoogte;http://vocab.nerc.ac.uk/collection/S06/current/S0600103/;;;;
TROEBHD;Troebelheid;http://vocab.nerc.ac.uk/collection/S06/current/S0600174/;;;;
STROOMRTG;Stroomrichting;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600214/;;
S0BH;Gemiddelde golfrichtingspreiding in het spectrale domein;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600114/;;
Th0;Gemiddelde golfrichting in het spectrale domein;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600114/;;
Th3;Gem. richting deining tov ware noorden in spectrale domein;;http://vocab.nerc.ac.uk/collection/S29/current/PE001244/;http://vocab.nerc.ac.uk/collection/S29/current/PE001244/;;
Fp;Golffrequentie bij maximum v.h. variantiedichtheidspectrum;?;;?;;
DICHTHD;Dichtheid (soortelijke massa);http://vocab.nerc.ac.uk/collection/S06/current/S0600290/;;;;
ALKLTT;Alkaliteit;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600283/;;
HH;Hardheid;?;;?;;
HHT;Hardheid tijdelijk;?;;?;;
CONCTTE;(massa)Concentratie;http://vocab.nerc.ac.uk/collection/S06/current/S0600045/;;;;
PMV;Kaliumpermanganaat verbruik;chemische stof?;;chemische stof?;;
DRAAITD;Draaitijd;?;;?;;
INDCTOPDT;Indicatie open/dicht;?;;?;;
OPNDR;Openingsduur;?;;?;;
SPUITD;Spuitijd;?;;?;;
STROOMSHD;Stroomsnelheid;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600247/;;
GELDHD;Geleidendheid;http://vocab.nerc.ac.uk/collection/S06/current/S0600298/;;;;
Q;Debiet;http://vocab.nerc.ac.uk/collection/S06/current/S0600052/;;;;
QVERWACHT;Debiet verwacht;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600052/;;
FLUORCTE;Fluorescentie;? Alleen P01;;? ;;
GGT;Gemiddelde golfperiode in het tijdsdomein;?;;?;;
SPGT;Standaardafwijking van de golfperiode in het tijdsdomein;?;;?;;
T_Hmax;Golfperiode die hoort bij Hmax;?;;?;;
T_H1/3;Golfperiode die hoort bij H1/3;?;;?;;
Tmax;Maximale golfperiode in het tijdsdomein;http://vocab.nerc.ac.uk/collection/S06/current/S0600225/;;;;
Tm01;Golfperiode bepaald uit de spectrale momenten m0 en m1;http://vocab.nerc.ac.uk/collection/S06/current/S0600143/;;;;
Tm02;Golfperiode bepaald uit de spectrale momenten m0 en m2;http://vocab.nerc.ac.uk/collection/S06/current/S0600145/;;;;
Tm-10;Golfperiode bepaald uit de spectrale momenten m-1 en m0;http://vocab.nerc.ac.uk/collection/S06/current/S0600189/;;;;
T1/3;Gem. golfperiode langste 1/3 deel v.d. golven (tijdsdomein);;http://vocab.nerc.ac.uk/collection/S29/current/PE001211/;http://vocab.nerc.ac.uk/collection/S29/current/PE001211/;;
INSLG;Instraling;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600137/;;
NGWTTL;Nat gewicht totaal;http://vocab.nerc.ac.uk/collection/S06/current/S0600088/;;;;
BEMSRDR;Bemonsteringsduur;?;;?;;
VOLME;Volume;http://vocab.nerc.ac.uk/collection/S06/current/S0600025/;;;;
