"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd";"Guid"
4966;"95-33-0";"2ccC6yAotobz";"2-(cyclohexylaminothio)benzothiazool";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";"";"Id-1023eabb-68be-499f-822f-ea67ce6cfaf4"
4966;"95-33-0";"2ccC6yAotobz";"2-(cyclohexylaminothio)benzothiazool";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-3f3799dc-8d82-4309-bb5e-62a1fbe44d2d"
4967;"4169-04-4";"2fenOx1C3ol";"2-fenoxy-1-propanol";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-ec0b7d7d-85ea-4daa-8481-974abedc7300"
4967;"4169-04-4";"2fenOx1C3ol";"2-fenoxy-1-propanol";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-6f3e6466-3253-4562-9e70-adab4f31ebe0"
4968;"102-77-2";"2mflntobztaz";"2-morfoline(thio)benzothiazool";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";"";"Id-b5a58c2b-3c09-4c65-b94e-7ca6d4b460a9"
4968;"102-77-2";"2mflntobztaz";"2-morfoline(thio)benzothiazool";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-5a37827f-634a-4af2-9a52-7c1a422aaf16"
4969;"25152-84-5";"2t4tDcdeal";"2-trans-4-trans-decadienal";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-0d1eb0d0-6797-4ec6-b589-5bd2d36173c4"
4969;"25152-84-5";"2t4tDcdeal";"2-trans-4-trans-decadienal";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-b041fe09-734f-45d6-ae61-4df6872f5974"
497;"1897-45-6";"Cltlnl";"chloorthalonil";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-cd23b335-3512-47fb-9f78-dffbbaef824b"
4970;"121-00-6";"2ttC4y4C1oxF";"2-tert-butyl-4-methoxyfenol";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-19fbc5f8-0904-4365-b942-e607f5630c14"
4970;"121-00-6";"2ttC4y4C1oxF";"2-tert-butyl-4-methoxyfenol";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-9b0b7a43-2c51-47ae-b329-f2bf1fe4578b"
4971;"51-44-5";"34DClBencbzr";"3,4-dichloorbenzeencarbonzuur";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";"";"Id-32c6df7a-7a11-4e8f-9cd5-a049e19b6ebc"
4971;"51-44-5";"34DClBencbzr";"3,4-dichloorbenzeencarbonzuur";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";"";"Id-4c04e724-762d-490b-a5c0-766f8b87277e"
