speciesname_original;modified;speciesname_corrected;identificationQualifier;author;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation
Amphikrikos nanus;exact;Amphikrikos nanus;;;610852;exact;urn:lsid:marinespecies.org:taxname:610852;;Amphikrikos nanus;(Fott & Heynig) Hindák, 1977;Checked by Taxonomic Editor;accepted;610852;Amphikrikos nanus;(Fott & Heynig) Hindák, 1977;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Amphikrikos;;nanus;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphikrikos nanus (Fott & Heynig) Hindák, 1977. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=610852 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Amphora;exact;Amphora;;;149200;exact;urn:lsid:marinespecies.org:taxname:149200;4705;Amphora;C.G. Ehrenberg ex F.T. Kützing, 1844;Checked by Taxonomic Editor;accepted;149200;Amphora;C.G. Ehrenberg ex F.T. Kützing, 1844;Chromista;Ochrophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;;;;1;1;1;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Amphora C.G. Ehrenberg ex F.T. Kützing, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149200 on 2020-06-10;;
Amylax triacantha;exact;Amylax triacantha;;;110007;exact;urn:lsid:marinespecies.org:taxname:110007;615885;Amylax triacantha;(Jörgensen) Sournia, 1984;Checked by Taxonomic Editor;accepted;110007;Amylax triacantha;(Jörgensen) Sournia, 1984;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Amylax;;triacantha;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amylax triacantha (Jörgensen) Sournia, 1984. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110007 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Anabaena;exact;Anabaena;;;146585;exact;urn:lsid:marinespecies.org:taxname:146585;1100;Anabaena;Bory de Saint-Vincent ex Bornet & Flahault, 1886;Checked by Taxonomic Editor;accepted;146585;Anabaena;Bory de Saint-Vincent ex Bornet & Flahault, 1886;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Anabaena;;;;1;;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaena Bory de Saint-Vincent ex Bornet & Flahault, 1886. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146585 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Anabaenopsis;exact;Anabaenopsis;;;146590;exact;urn:lsid:marinespecies.org:taxname:146590;1182;Anabaenopsis;V.V.Miller, 1923;Checked by Taxonomic Editor;accepted;146590;Anabaenopsis;V.V.Miller, 1923;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Aphanizomenonaceae;Anabaenopsis;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaenopsis V.V.Miller, 1923. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146590 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Animalia;exact;Animalia;;;2;exact;urn:lsid:marinespecies.org:taxname:2;202423;Animalia;;Checked by Taxonomic Editor: included in ERMS 1.1;accepted;2;Animalia;;Animalia;;;;;;;;;1;1;1;1;WoRMS (2020). Animalia. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=2 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Ankyra judayi;exact;Ankyra judayi;;;572080;exact;urn:lsid:marinespecies.org:taxname:572080;;Ankyra judayi;(G.M.Smith) Fott, 1957;Checked by Taxonomic Editor;accepted;572080;Ankyra judayi;(G.M.Smith) Fott, 1957;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Characiaceae;Ankyra;;judayi;;0;0;1;0;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ankyra judayi (G.M.Smith) Fott, 1957. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=572080 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Ankyra lanceolata;exact;Ankyra lanceolata;;;666617;exact;urn:lsid:marinespecies.org:taxname:666617;;Ankyra lanceolata;(Korshikov) Fott, 1957;Checked by Taxonomic Editor;unaccepted;618770;Lanceola spatulifera;(Korshikov) Hindák, 1988;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Characiaceae;Ankyra;;lanceolata;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ankyra lanceolata (Korshikov) Fott, 1957. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=666617 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Apedinella spinifera;exact;Apedinella spinifera;;;248098;exact;urn:lsid:marinespecies.org:taxname:248098;1792;Apedinella spinifera;(Throndsen) Throndsen, 1971;Checked by Taxonomic Editor;unaccepted;248097;Apedinella radians;(Lohmann) P.H.Campbell, 1973;Chromista;Ochrophyta;Dictyochophyceae;Pedinellales;Pedinellaceae;Apedinella;;spinifera;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Apedinella spinifera (Throndsen) Throndsen, 1971. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=248098 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Aphanizomenon;exact;Aphanizomenon;;;160567;exact;urn:lsid:marinespecies.org:taxname:160567;1191;Aphanizomenon;A.Morren ex Bornet & Flahault, 1888;Checked by Taxonomic Editor;accepted;160567;Aphanizomenon;A.Morren ex Bornet & Flahault, 1888;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Aphanizomenon;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Aphanizomenon A.Morren ex Bornet & Flahault, 1888. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160567 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Aphanizomenon klebahnii;exact;Aphanizomenon klebahnii;;;625385;exact;urn:lsid:marinespecies.org:taxname:625385;;Aphanizomenon klebahnii;Elenkin ex Pechar, 2008;Checked by Taxonomic Editor;accepted;625385;Aphanizomenon klebahnii;Elenkin ex Pechar, 2008;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Aphanizomenon;;klebahnii;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Aphanizomenon klebahnii Elenkin ex Pechar, 2008. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=625385 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Aphanocapsa;exact;Aphanocapsa;;;146562;exact;urn:lsid:marinespecies.org:taxname:146562;625;Aphanocapsa;C.Nägeli, 1849;Checked by Taxonomic Editor;accepted;146562;Aphanocapsa;C.Nägeli, 1849;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Merismopediaceae;Aphanocapsa;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Aphanocapsa C.Nägeli, 1849. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146562 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Aphanothece pseudoglebulenta;exact;Aphanothece pseudoglebulenta;;;622906;exact;urn:lsid:marinespecies.org:taxname:622906;;Aphanothece pseudoglebulenta;Joosten, 2006;Checked by Taxonomic Editor;accepted;622906;Aphanothece pseudoglebulenta;Joosten, 2006;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Aphanothece;;pseudoglebulenta;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Aphanothece pseudoglebulenta Joosten, 2006. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=622906 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Apicoporus;exact;Apicoporus;;;836528;exact;urn:lsid:marinespecies.org:taxname:836528;;Apicoporus;Sparmann, Leander & Hoppenrath, 2008;Checked by Taxonomic Editor;accepted;836528;Apicoporus;Sparmann, Leander & Hoppenrath, 2008;Chromista;Myzozoa;Dinophyceae;Dinophyceae incertae sedis;;Apicoporus;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Apicoporus Sparmann, Leander & Hoppenrath, 2008. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=836528 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Archaeperidinium;exact;Archaeperidinium;;;604918;exact;urn:lsid:marinespecies.org:taxname:604918;;Archaeperidinium;Jörgensen, 1912;Checked by Taxonomic Editor;accepted;604918;Archaeperidinium;Jörgensen, 1912;Chromista;Myzozoa;Dinophyceae;Peridiniales;Peridiniida incertae sedis;Archaeperidinium;;;;1;0;0;0;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Archaeperidinium Jörgensen, 1912. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=604918 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Asterionella formosa;exact;Asterionella formosa;;;148954;exact;urn:lsid:marinespecies.org:taxname:148954;3120;Asterionella formosa;Hassall, 1850;Edited by Database Management Team;accepted;148954;Asterionella formosa;Hassall, 1850;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionella;;formosa;;0;1;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Asterionella formosa Hassall, 1850. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148954 on 2020-06-10;;
Asterionellopsis glacialis;exact;Asterionellopsis glacialis;;;149139;exact;urn:lsid:marinespecies.org:taxname:149139;615890;Asterionellopsis glacialis;(Castracane) Round, 1990;Edited by Database Management Team;alternate representation;148955;Asterionella glacialis;Castracane, 1886;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionellopsis;;glacialis;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Asterionellopsis glacialis (Castracane) Round, 1990. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149139 on 2020-06-10;;
Attheya;exact;Attheya;;;160519;exact;urn:lsid:marinespecies.org:taxname:160519;2876;Attheya;T. West, 1860;Edited by Database Management Team;accepted;160519;Attheya;T. West, 1860;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;;;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Attheya T. West, 1860. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160519 on 2020-06-10;;
Attheya armata;exact;Attheya armata;;;394840;exact;urn:lsid:marinespecies.org:taxname:394840;;Attheya armata;(T.West) R.M.Crawford, 1994;Edited by Database Management Team;alternate representation;149299;Chaetoceros armatus;T.West, 1860;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;;armata;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Attheya armata (T.West) R.M.Crawford, 1994. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394840 on 2020-06-10;;
Attheya decora;exact;Attheya decora;;;160520;exact;urn:lsid:marinespecies.org:taxname:160520;;Attheya decora;T.West, 1860;Edited by Database Management Team;accepted;160520;Attheya decora;T.West, 1860;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;;decora;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Attheya decora T.West, 1860. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160520 on 2020-06-10;;
Attheya septentrionalis;exact;Attheya septentrionalis;;;162823;exact;urn:lsid:marinespecies.org:taxname:162823;615884;Attheya septentrionalis;(Østrup) R.M.Crawford, 1994;Edited by Database Management Team;alternate representation;962003;Chaetoceros septentrionalis;Cleve, 1896;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;;septentrionalis;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Attheya septentrionalis (Østrup) R.M.Crawford, 1994. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=162823 on 2020-06-10;;
Aulacodiscus argus;exact;Aulacodiscus argus;;;149280;exact;urn:lsid:marinespecies.org:taxname:149280;2629;Aulacodiscus argus;(Ehrenberg) A.Schmidt, 1886;Edited by Database Management Team;alternate representation;162834;Tripodiscus argus;Ehrenberg, 1839;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Aulacodiscaceae;Aulacodiscus;;argus;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Aulacodiscus argus (Ehrenberg) A.Schmidt, 1886. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=149280 on 2020-06-10;;
Aulacoseira;exact;Aulacoseira;;;148959;exact;urn:lsid:marinespecies.org:taxname:148959;590863;Aulacoseira;G.H.K. Thwaites, 1848;Checked by Taxonomic Editor;accepted;148959;Aulacoseira;G.H.K. Thwaites, 1848;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;;;;0;;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Aulacoseira G.H.K. Thwaites, 1848. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148959 on 2020-06-10;;
Aulacoseira ambigua;exact;Aulacoseira ambigua;;;148960;exact;urn:lsid:marinespecies.org:taxname:148960;591194;Aulacoseira ambigua;(Grunow) Simonsen, 1979;Checked by Taxonomic Editor;accepted;148960;Aulacoseira ambigua;(Grunow) Simonsen, 1979;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;;ambigua;;0;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Aulacoseira ambigua (Grunow) Simonsen, 1979. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148960 on 2020-06-10;;
Aulacoseira granulata;exact;Aulacoseira granulata;;;148961;exact;urn:lsid:marinespecies.org:taxname:148961;591207;Aulacoseira granulata;(Ehrenberg) Simonsen, 1979;Checked by Taxonomic Editor;accepted;148961;Aulacoseira granulata;(Ehrenberg) Simonsen, 1979;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;;granulata;;0;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Aulacoseira granulata (Ehrenberg) Simonsen, 1979. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148961 on 2020-06-10;;
Aulacoseira islandica;exact;Aulacoseira islandica;;;149648;exact;urn:lsid:marinespecies.org:taxname:149648;591482;Aulacoseira islandica;(O.Müller) Simonsen, 1979;Checked by Taxonomic Editor;accepted;149648;Aulacoseira islandica;(O.Müller) Simonsen, 1979;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;;islandica;;0;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Aulacoseira islandica (O.Müller) Simonsen, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149648 on 2020-06-10;;
Auliscus sculptus;exact;Auliscus sculptus;;;699641;exact;urn:lsid:marinespecies.org:taxname:699641;;Auliscus sculptus;(W.Smith) Brightwell, 1860;Edited by Database Management Team;alternate representation;179377;Eupodiscus sculptus;W.Smith, 1853;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Auliscus;;sculptus;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Auliscus sculptus (W.Smith) Brightwell, 1860. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=699641 on 2020-06-10;;
Azadinium;exact;Azadinium;;;391508;exact;urn:lsid:marinespecies.org:taxname:391508;;Azadinium;Elbrächter & Tillmann, 2009;Checked by Taxonomic Editor;accepted;391508;Azadinium;Elbrächter & Tillmann, 2009;Chromista;Myzozoa;Dinophyceae;Dinophyceae incertae sedis;Amphidomataceae;Azadinium;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Azadinium Elbrächter & Tillmann, 2009. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=391508 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Azadinium caudatum;exact;Azadinium caudatum;;;837075;exact;urn:lsid:marinespecies.org:taxname:837075;;Azadinium caudatum;(Halldal) Nézan & Chomérat, 2012;Checked by Taxonomic Editor;accepted;837075;Azadinium caudatum;(Halldal) Nézan & Chomérat, 2012;Chromista;Myzozoa;Dinophyceae;Dinophyceae incertae sedis;Amphidomataceae;Azadinium;;caudatum;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Azadinium caudatum (Halldal) Nézan & Chomérat, 2012. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=837075 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Bacillaria paxillifer;exact;Bacillaria paxillifer;;;149149;exact;urn:lsid:marinespecies.org:taxname:149149;5301;Bacillaria paxillifer;(O.F.Müller) T.Marsson, 1901;Edited by Database Management Team;alternate representation;163728;Vibrio paxillifer;O.F.Müller, 1786;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Bacillaria;;paxillifer;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Bacillaria paxillifer (O.F.Müller) T.Marsson, 1901. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149149 on 2020-06-10;;
Bacteriastrum hyalinum;exact;Bacteriastrum hyalinum;;;149119;exact;urn:lsid:marinespecies.org:taxname:149119;2866;Bacteriastrum hyalinum;Lauder, 1864;Edited by Database Management Team;accepted;149119;Bacteriastrum hyalinum;Lauder, 1864;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;;hyalinum;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Bacteriastrum hyalinum Lauder, 1864. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149119 on 2020-06-10;;
Bacterosira bathyomphala;exact;Bacterosira bathyomphala;;;162927;exact;urn:lsid:marinespecies.org:taxname:162927;;Bacterosira bathyomphala;(Cleve) Syvertsen & Hasle, 1993;Edited by Database Management Team;alternate representation;162930;Coscinodiscus bathyomphalus;Cleve, 1883;Chromista;Ochrophyta;Bacillariophyceae;;;Bacterosira;;bathyomphala;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Bacterosira bathyomphala (Cleve) Syvertsen & Hasle, 1993. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=162927 on 2020-06-10;;
Bellerochea horologicalis;exact;Bellerochea horologicalis;;;447730;exact;urn:lsid:marinespecies.org:taxname:447730;2727;Bellerochea horologicalis;Stosch, 1980;Edited by Database Management Team;uncertain;447730;Bellerochea horologicalis;Stosch, 1980;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Bellerocheaceae;Bellerochea;;horologicalis;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Bellerochea horologicalis Stosch, 1980. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=447730 on 2020-06-10;;
